motif,D_type,Ess_n,NonEss_n,Ess_hits,NonEss_hits,Ess_mean,Ess_lower_ci,Ess_upper_ci,NonEss_mean,NonEss_lower_ci,NonEss_upper_ci,ratio,proportion,abs_diff,p_value,OnlyEnt,buff,spa,q_value
Bukau4,D_All,138,416,2,4,9.703252068597258e-05,0.0,0.0003780718336483,5.229450326462501e-05,1.2651821862348178e-05,0.0001605928358691,1.8555013362486783,0.6497987980934664,4.473801742134757e-05,0.5627,False,C,0,0.8957265306122448
Bukau4,D_Thread,138,416,0,2,0.0,,,1.4602617299712737e-05,0.0,5.794899726380612e-05,0.0,0.0,1.4602617299712737e-05,0.8152,False,C,0,0.98316
Bukau4,D_Loop,138,416,1,0,3.402054841124039e-05,0.0,0.0001820083502858,0.0,,,inf,1.0,3.402054841124039e-05,0.2443,False,C,0,0.808925
Bukau4RF,D_All,138,416,9,33,0.0002626540451232,0.0001114287092628,0.0005577225103721,0.0003546886748089,0.0002360015857415,0.0005285492859814,0.740519965191371,0.4254590467222537,9.203462968564604e-05,0.5087,False,C,0,0.8814000000000001
Bukau4RF,D_Thread,138,416,2,16,6.121516418999256e-05,0.0,0.0002155747719906,0.0001210476945962,6.76806238964832e-05,0.00020318739043,0.50571111159265,0.3358619775726695,5.9832530406248266e-05,0.3533,False,C,0,0.8814000000000001
Bukau4RF,D_Loop,138,416,4,16,0.0001355567500193,3.46716593856182e-05,0.0003839656014886,0.0001201044239869,6.816625622699924e-05,0.000200856151631,1.1286574259259057,0.5302203220581497,1.545232603246844e-05,0.8425,False,C,0,0.990141176470588
Bukau4LF,D_All,138,416,19,58,0.0005442570354504,0.0003080078950868,0.0009593068426113,0.0006011090593795,0.0004509413716527,0.0008007684187806,0.905421448833626,0.4751817239109309,5.685202392910374e-05,0.7419,False,C,0,0.98316
Bukau4LF,D_Thread,138,416,7,21,0.0001797267482822,7.276027699656826e-05,0.0003932803520539,0.000155809415087,9.803544910873464e-05,0.0002397793013105,1.153503773709068,0.5356404700988014,2.39173331952578e-05,0.7584,False,C,0,0.98316
Bukau4LF,D_Loop,138,416,10,25,0.0002397950020733,0.0001077034239582,0.0004999486034505,0.0001867442683653,0.000121084082949,0.0002840642005266,1.284082259511421,0.562187396782327,5.305073370802634e-05,0.5573,False,C,0,0.8957265306122448
Bukau4,D_All,98,303,2,2,0.00013663763117,0.0,0.0004986440381418,2.0048477876833325e-05,0.0,7.341879571151749e-05,6.815361844897578,0.872046871297089,0.0001165891532932,0.071,True,C,0,0.4398
