motif,D_type,Ess_n,NonEss_n,Ess_hits,NonEss_hits,Ess_mean,Ess_lower_ci,Ess_upper_ci,NonEss_mean,NonEss_lower_ci,NonEss_upper_ci,ratio,proportion,abs_diff,p_value,OnlyEnt,buff,spa,q_value
Bukau4,D_All,105,243,2,1,0.0001275284557587,0.0,0.0004654011022657,1.646090534979424e-05,0.0,9.876543209876544e-05,7.747353687341439,0.8856797111740056,0.0001110675504089,0.0948,False,C,0,0.9841
Bukau4,D_Thread,105,243,0,1,0.0,,,1.646090534979424e-05,0.0,9.876543209876544e-05,0.0,0.0,1.646090534979424e-05,1.0,False,C,0,1.0
Bukau4,D_Loop,105,243,1,1,4.47127207690588e-05,0.0,0.0002682763246143,1.646090534979424e-05,0.0,8.23045267489712e-05,2.7162977867203217,0.7309149972929075,2.825181541926456e-05,0.7915,False,C,0,1.0
Bukau4RF,D_All,105,243,7,18,0.000240951406834,9.15284129132704e-05,0.0005895890039293,0.0003905794952349,0.0002258309146065,0.0006435139421084,0.6169074664021724,0.3815354182109574,0.0001496280884009,0.3846,False,C,0,0.9841
Bukau4RF,D_Thread,105,243,2,6,8.045421579256166e-05,0.0,0.0002869311139987,7.693357485197356e-05,2.9384241826139536e-05,0.0001744480191707,1.045762086934893,0.5111846062714597,3.5206409405881e-06,0.9473,False,C,0,1.0
Bukau4RF,D_Loop,105,243,3,7,0.0001013553845108,1.107419712070875e-05,0.0003274862259122,9.807676900054669e-05,3.967434540553155e-05,0.0002099558491378,1.03342907340576,0.5082198769170173,3.2786155103190557e-06,0.9597,False,C,0,1.0
Bukau4LF,D_All,105,243,17,37,0.0006917665870084,0.000384015290534,0.0012316077465036,0.0006103956061569,0.0004272489268564,0.0008684907252824,1.1333085953285524,0.5312445643402147,8.137098085149723e-05,0.7063,False,C,0,1.0
Bukau4LF,D_Thread,105,243,5,13,0.0001519816951318,4.628675854644411e-05,0.0003833683149066,0.0001541183206437,8.411465453444166e-05,0.0002548000647785,0.9861364599420656,0.4965099225713981,2.136625511905721e-06,0.9812,False,C,0,1.0
Bukau4LF,D_Loop,105,243,8,16,0.000305144097854,0.0001314038015974,0.000660193411859,0.0002134534785833,0.0001231122685416,0.0003449759272345,1.4295578590668854,0.5884024756734677,9.169061927064548e-05,0.4425,False,C,0,0.9841
Bukau4,D_All,81,183,2,1,0.0001653146648723,0.0,0.0006032977251593,2.185792349726776e-05,0.0,0.0001092896174863,7.563145917912196,0.8832204881726676,0.0001434567413751,0.0978,True,C,0,0.9841
Bukau4,D_Thread,81,183,0,1,0.0,,,2.185792349726776e-05,0.0,0.0001311475409836,0.0,0.0,2.185792349726776e-05,1.0,True,C,0,1.0
Bukau4,D_Loop,81,183,1,1,5.796093433026141e-05,0.0,0.0003477656059815,2.185792349726776e-05,0.0,0.0001311475409836,2.65171274560946,0.726155897338222,3.610301083299365e-05,0.7867,True,C,0,1.0
Bukau4RF,D_All,81,183,7,12,0.0003123444162663,0.0001185649632392,0.0007442036817024,0.0002833139142395,0.000139654563149,0.0005413989498195,1.1024676183121245,0.5243684177153667,2.903050202681355e-05,0.8682,True,C,0,1.0
Bukau4RF,D_Thread,81,183,2,6,0.0001042925019533,0.0,0.0003580997733044,0.0001021576977542,3.937340986085112e-05,0.0002214744728708,1.0208971447672592,0.5051702643109197,2.1348041990606878e-06,0.9688,True,C,0,1.0
