metric|Ess_metric|Ess_mean|Ess_mean_lb|Ess_mean_ub|Ess_median|Ess_median_lb|Ess_median_ub|NonEss_metric|NonEss_mean|NonEss_mean_lb|NonEss_mean_ub|NonEss_median|NonEss_median_lb|NonEss_median_ub|pvalues|buff|qvalue
Gn|Gn|0.7711062222222224|0.7492858769068657|0.7985744609149251|0.74758|0.60568|1.12946|Gn|0.7822126724137931|0.7648849383744831|0.8033478486549558|0.74446|0.6031|1.22678|0.5018837934858513|C|0.5420344969647195
N_term_thread|N_term_thread|1.1925925925925926|1.1037037037037036|1.3185185185185184|1.0|1.0|3.0|N_term_thread|1.2057971014492754|1.1391304347826088|1.2927536231884058|1.0|1.0|3.0|0.2090018461484186|C|0.30215518917690515
Gc|Gc|0.7875128448275863|0.758986167834484|0.8272848146319661|0.74601|0.60333|1.48551|Gc|0.850908|0.8236333072103249|0.8849646460560833|0.79342|0.60876|1.73371|0.0025284235576399|C|0.0183510363208866
C_term_thread|C_term_thread|1.146551724137931|1.0689655172413792|1.293103448275862|1.0|1.0|3.0|C_term_thread|1.1496062992125984|1.0984251968503935|1.2165354330708662|1.0|1.0|3.0|0.1685703816362148|C|0.2677294296575176
loopsize|loopsize|98.17521367521368|87.03418803418803|112.06837606837608|64.0|16.0|407.0|loopsize|99.03191489361704|91.93262411347516|107.00886524822695|63.0|17.0|335.0|0.3656378865076897|C|0.429227084161201
num_zipper_nc|num_zipper_nc|13.012820512820513|11.213675213675211|15.393162393162394|7.0|1.0|57.0|num_zipper_nc|13.47872340425532|12.2854609929078|14.829787234042554|8.0|1.0|55.0|0.3412574708318585|C|0.41881598693000816
perc_bb_loop|perc_bb_loop|0.2265786130206851|0.2032341422909634|0.2525749358947112|0.1648936170212765|0.0156361051883439|0.7294520547945206|perc_bb_loop|0.2491856441950584|0.2330507712105658|0.2664465047171619|0.1842105263157894|0.0346715328467153|0.7836734693877551|0.033005959365707|C|0.1268383052824767
num_loop_contacting_res|num_loop_contacting_res|153.30769230769232|140.67948717948718|168.73931623931625|115.0|45.0|495.0|num_loop_contacting_res|158.2127659574468|149.81914893617022|167.29708846849525|122.0|48.0|448.0|0.2091232368485884|C|0.30215518917690515
num_cross_nearest_neighbors|num_cross_nearest_neighbors|39.81196581196581|38.0940170940171|42.04700854700855|36.0|27.0|88.0|num_cross_nearest_neighbors|41.55851063829788|40.20297313175506|43.21527661574303|36.0|27.0|93.0|0.0351033924867453|C|0.1268383052824767
ent_coverage|ent_coverage|0.1780969329270442|0.1649405777808011|0.1927398167398049|0.1514476614699332|0.0417287630402384|0.4185185185185185|ent_coverage|0.19756969673922|0.1901856726025258|0.2056265159365627|0.1821192052980132|0.07361268403171|0.4347826086956521|0.0002243042542689|C|0.0060562148652603
min_N_prot_depth_left|min_N_prot_depth_left|0.3039992021033821|0.2670128525848269|0.3433908994106242|0.2608386638237384|0.0171232876712328|0.7717569786535303|min_N_prot_depth_left|0.3749782868026968|0.3503921879706639|0.4001344422260401|0.3776371308016877|0.0196078431372549|0.815028901734104|0.001157746827234|C|0.0149415459922368
min_N_thread_depth_left|min_N_thread_depth_left|0.708131285186342|0.6621514531302003|0.7495088787216906|0.8229166666666666|0.1025641025641025|0.9811965811965812|min_N_thread_depth_left|0.7516200163519924|0.724661421465735|0.7758428411256518|0.8532423208191127|0.1363636363636363|0.982367758186398|0.0550953705432031|C|0.1652861116296093
min_N_thread_slippage_left|min_N_thread_slippage_left|181.07407407407408|151.37777777777777|217.20726736109592|124.0|8.0|696.0|min_N_thread_slippage_left|173.34202898550726|157.33913043478262|191.3552403323232|131.0|9.0|613.0|0.7535760453197693|C|0.7677944612691989
min_C_prot_depth_right|min_C_prot_depth_right|0.3977893075345491|0.3529625936908043|0.4439808634954884|0.3594470046082949|0.0433275563258232|0.8616279069767442|min_C_prot_depth_right|0.3166784048146354|0.2913800043444848|0.3436287514987195|0.2780952380952381|0.0496613995485327|0.7489539748953975|0.0030585060534811|C|0.0183510363208866
min_C_thread_depth_right|min_C_thread_depth_right|0.7825738089666031|0.7428607451240173|0.8161207855723615|0.8504672897196262|0.2388059701492537|0.9886934673366834|min_C_thread_depth_right|0.7393605395512639|0.7103951094327782|0.7654058139880744|0.7976190476190477|0.1797752808988764|0.976063829787234|0.0204687058769452|C|0.10048273794136735
min_C_thread_slippage_right|min_C_thread_slippage_right|224.05172413793105|188.32437268125648|269.0810631557664|128.0|14.0|787.0|min_C_thread_slippage_right|147.00787401574803|131.48031496062993|164.83070866141733|103.0|13.0|497.0|0.001263008694037|C|0.0149415459922368
ACO|ACO|118.55172041864924|107.2144130028668|131.93877348860184|92.0|18.0|419.8235294117647|ACO|119.34058455269675|112.42356713043684|126.8798894638712|90.0|25.0|345.55555555555554|0.1671540106632591|C|0.2677294296575176
RCO|RCO|0.2752021489697973|0.2499477636940919|0.3027791862386522|0.2177592522420108|0.0221311475409836|0.750640204865557|RCO|0.3037121772944927|0.2873957754344134|0.3209166914482332|0.25|0.0560897435897435|0.7963536291709666|0.009016677079466|C|0.04869005622911641
