N2_wavelength N2_emi_intensity
3.800000000000000000e+02 7.070000000000000000e+02
3.830000000000000000e+02 6.450000000000000000e+02
3.860000000000000000e+02 7.710000000000000000e+02
3.890000000000000000e+02 6.130000000000000000e+02
3.920000000000000000e+02 6.520000000000000000e+02
3.950000000000000000e+02 7.330000000000000000e+02
3.980000000000000000e+02 5.950000000000000000e+02
4.010000000000000000e+02 6.710000000000000000e+02
4.040000000000000000e+02 8.870000000000000000e+02
4.070000000000000000e+02 9.070000000000000000e+02
4.100000000000000000e+02 1.128000000000000000e+03
4.130000000000000000e+02 1.304000000000000000e+03
4.160000000000000000e+02 1.568000000000000000e+03
4.190000000000000000e+02 1.733000000000000000e+03
4.220000000000000000e+02 2.125000000000000000e+03
4.250000000000000000e+02 2.375000000000000000e+03
4.280000000000000000e+02 3.009000000000000000e+03
4.310000000000000000e+02 3.357000000000000000e+03
4.340000000000000000e+02 3.977000000000000000e+03
4.370000000000000000e+02 4.717000000000000000e+03
4.400000000000000000e+02 5.157000000000000000e+03
4.430000000000000000e+02 5.858000000000000000e+03
4.460000000000000000e+02 6.879000000000000000e+03
4.490000000000000000e+02 7.818000000000000000e+03
4.520000000000000000e+02 8.519000000000000000e+03
4.550000000000000000e+02 9.950000000000000000e+03
4.580000000000000000e+02 1.171400000000000000e+04
4.610000000000000000e+02 1.334800000000000000e+04
4.640000000000000000e+02 1.565700000000000000e+04
4.670000000000000000e+02 1.818800000000000000e+04
4.700000000000000000e+02 2.077800000000000000e+04
4.730000000000000000e+02 2.381300000000000000e+04
4.760000000000000000e+02 2.725600000000000000e+04
4.790000000000000000e+02 2.900200000000000000e+04
4.820000000000000000e+02 3.166600000000000000e+04
4.850000000000000000e+02 3.473500000000000000e+04
4.880000000000000000e+02 3.640000000000000000e+04
4.910000000000000000e+02 3.905600000000000000e+04
4.940000000000000000e+02 4.126800000000000000e+04
4.970000000000000000e+02 4.303300000000000000e+04
5.000000000000000000e+02 4.533200000000000000e+04
5.030000000000000000e+02 4.677800000000000000e+04
5.060000000000000000e+02 4.824400000000000000e+04
5.090000000000000000e+02 4.870200000000000000e+04
5.120000000000000000e+02 4.965800000000000000e+04
5.150000000000000000e+02 5.028800000000000000e+04
5.180000000000000000e+02 5.138100000000000000e+04
5.210000000000000000e+02 5.160200000000000000e+04
5.240000000000000000e+02 5.175100000000000000e+04
5.270000000000000000e+02 5.155000000000000000e+04
5.300000000000000000e+02 5.207300000000000000e+04
5.330000000000000000e+02 5.033100000000000000e+04
5.360000000000000000e+02 5.056700000000000000e+04
5.390000000000000000e+02 4.925100000000000000e+04
5.420000000000000000e+02 4.734600000000000000e+04
5.450000000000000000e+02 4.595500000000000000e+04
5.480000000000000000e+02 4.526800000000000000e+04
5.510000000000000000e+02 4.392200000000000000e+04
5.540000000000000000e+02 4.228900000000000000e+04
5.570000000000000000e+02 4.139000000000000000e+04
5.600000000000000000e+02 3.983800000000000000e+04
5.630000000000000000e+02 3.799900000000000000e+04
5.660000000000000000e+02 3.609700000000000000e+04
5.690000000000000000e+02 3.456500000000000000e+04
5.720000000000000000e+02 3.295400000000000000e+04
5.750000000000000000e+02 3.222100000000000000e+04
5.780000000000000000e+02 3.027000000000000000e+04
5.810000000000000000e+02 2.935100000000000000e+04
5.840000000000000000e+02 2.731900000000000000e+04
5.870000000000000000e+02 2.611900000000000000e+04
5.900000000000000000e+02 2.502300000000000000e+04
5.930000000000000000e+02 2.362300000000000000e+04
5.960000000000000000e+02 2.249400000000000000e+04
5.990000000000000000e+02 2.149400000000000000e+04
6.020000000000000000e+02 2.003800000000000000e+04
6.050000000000000000e+02 1.857200000000000000e+04
6.080000000000000000e+02 1.756900000000000000e+04
6.110000000000000000e+02 1.697400000000000000e+04
6.140000000000000000e+02 1.539800000000000000e+04
6.170000000000000000e+02 1.502300000000000000e+04
6.200000000000000000e+02 1.370400000000000000e+04
6.230000000000000000e+02 1.231600000000000000e+04
6.260000000000000000e+02 1.200900000000000000e+04
6.290000000000000000e+02 1.131200000000000000e+04
6.320000000000000000e+02 1.049500000000000000e+04
6.350000000000000000e+02 9.067000000000000000e+03
6.380000000000000000e+02 8.558000000000000000e+03
6.410000000000000000e+02 8.129000000000000000e+03
6.440000000000000000e+02 7.314000000000000000e+03
6.470000000000000000e+02 7.150000000000000000e+03
6.500000000000000000e+02 6.349000000000000000e+03
6.530000000000000000e+02 6.061000000000000000e+03
6.560000000000000000e+02 5.344000000000000000e+03
6.590000000000000000e+02 4.891000000000000000e+03
6.620000000000000000e+02 4.662000000000000000e+03
6.650000000000000000e+02 4.199000000000000000e+03
6.680000000000000000e+02 3.773000000000000000e+03
6.710000000000000000e+02 3.498000000000000000e+03
6.740000000000000000e+02 3.391000000000000000e+03
6.770000000000000000e+02 3.108000000000000000e+03
6.800000000000000000e+02 2.734000000000000000e+03
6.830000000000000000e+02 2.618000000000000000e+03
6.860000000000000000e+02 2.424000000000000000e+03
6.890000000000000000e+02 2.147000000000000000e+03
6.920000000000000000e+02 2.018000000000000000e+03
6.950000000000000000e+02 1.805000000000000000e+03
6.980000000000000000e+02 1.846000000000000000e+03
