R3_wavelength R3_emi_intensity
3.800000000000000000e+02 7.280000000000000000e+02
3.830000000000000000e+02 6.760000000000000000e+02
3.860000000000000000e+02 7.500000000000000000e+02
3.890000000000000000e+02 6.210000000000000000e+02
3.920000000000000000e+02 7.240000000000000000e+02
3.950000000000000000e+02 7.370000000000000000e+02
3.980000000000000000e+02 7.300000000000000000e+02
4.010000000000000000e+02 8.970000000000000000e+02
4.040000000000000000e+02 8.510000000000000000e+02
4.070000000000000000e+02 1.039000000000000000e+03
4.100000000000000000e+02 1.244000000000000000e+03
4.130000000000000000e+02 1.423000000000000000e+03
4.160000000000000000e+02 2.066000000000000000e+03
4.190000000000000000e+02 2.592000000000000000e+03
4.220000000000000000e+02 3.385000000000000000e+03
4.250000000000000000e+02 4.189000000000000000e+03
4.280000000000000000e+02 5.360000000000000000e+03
4.310000000000000000e+02 6.446000000000000000e+03
4.340000000000000000e+02 8.098000000000000000e+03
4.370000000000000000e+02 9.244000000000000000e+03
4.400000000000000000e+02 1.051200000000000000e+04
4.430000000000000000e+02 1.288000000000000000e+04
4.460000000000000000e+02 1.404600000000000000e+04
4.490000000000000000e+02 1.630300000000000000e+04
4.520000000000000000e+02 1.904700000000000000e+04
4.550000000000000000e+02 2.109300000000000000e+04
4.580000000000000000e+02 2.357800000000000000e+04
4.610000000000000000e+02 2.682100000000000000e+04
4.640000000000000000e+02 3.071100000000000000e+04
4.670000000000000000e+02 3.510800000000000000e+04
4.700000000000000000e+02 4.030900000000000000e+04
4.730000000000000000e+02 4.447500000000000000e+04
4.760000000000000000e+02 4.832500000000000000e+04
4.790000000000000000e+02 5.256500000000000000e+04
4.820000000000000000e+02 5.570300000000000000e+04
4.850000000000000000e+02 5.813700000000000000e+04
4.880000000000000000e+02 6.229500000000000000e+04
4.910000000000000000e+02 6.364000000000000000e+04
4.940000000000000000e+02 6.578900000000000000e+04
4.970000000000000000e+02 6.751700000000000000e+04
5.000000000000000000e+02 6.907100000000000000e+04
5.030000000000000000e+02 6.980000000000000000e+04
5.060000000000000000e+02 7.012200000000000000e+04
5.090000000000000000e+02 7.164400000000000000e+04
5.120000000000000000e+02 7.159400000000000000e+04
5.150000000000000000e+02 7.206000000000000000e+04
5.180000000000000000e+02 7.116000000000000000e+04
5.210000000000000000e+02 7.094400000000000000e+04
5.240000000000000000e+02 7.068800000000000000e+04
5.270000000000000000e+02 6.878700000000000000e+04
5.300000000000000000e+02 6.741800000000000000e+04
5.330000000000000000e+02 6.692500000000000000e+04
5.360000000000000000e+02 6.501700000000000000e+04
5.390000000000000000e+02 6.330900000000000000e+04
5.420000000000000000e+02 6.117600000000000000e+04
5.450000000000000000e+02 5.879500000000000000e+04
5.480000000000000000e+02 5.627600000000000000e+04
5.510000000000000000e+02 5.457500000000000000e+04
5.540000000000000000e+02 5.267400000000000000e+04
5.570000000000000000e+02 5.028900000000000000e+04
5.600000000000000000e+02 4.865100000000000000e+04
5.630000000000000000e+02 4.573100000000000000e+04
5.660000000000000000e+02 4.463200000000000000e+04
5.690000000000000000e+02 4.205700000000000000e+04
5.720000000000000000e+02 4.002400000000000000e+04
5.750000000000000000e+02 3.814300000000000000e+04
5.780000000000000000e+02 3.598100000000000000e+04
5.810000000000000000e+02 3.391500000000000000e+04
5.840000000000000000e+02 3.240100000000000000e+04
5.870000000000000000e+02 3.034400000000000000e+04
5.900000000000000000e+02 2.863000000000000000e+04
5.930000000000000000e+02 2.700700000000000000e+04
5.960000000000000000e+02 2.615200000000000000e+04
5.990000000000000000e+02 2.467900000000000000e+04
6.020000000000000000e+02 2.285400000000000000e+04
6.050000000000000000e+02 2.180500000000000000e+04
6.080000000000000000e+02 2.044200000000000000e+04
6.110000000000000000e+02 1.861600000000000000e+04
6.140000000000000000e+02 1.815000000000000000e+04
6.170000000000000000e+02 1.654700000000000000e+04
6.200000000000000000e+02 1.537500000000000000e+04
6.230000000000000000e+02 1.417100000000000000e+04
6.260000000000000000e+02 1.325600000000000000e+04
6.290000000000000000e+02 1.252600000000000000e+04
6.320000000000000000e+02 1.106600000000000000e+04
6.350000000000000000e+02 1.041300000000000000e+04
6.380000000000000000e+02 9.514000000000000000e+03
6.410000000000000000e+02 8.922000000000000000e+03
6.440000000000000000e+02 8.230000000000000000e+03
6.470000000000000000e+02 7.388000000000000000e+03
6.500000000000000000e+02 7.202000000000000000e+03
6.530000000000000000e+02 6.201000000000000000e+03
6.560000000000000000e+02 6.003000000000000000e+03
6.590000000000000000e+02 5.285000000000000000e+03
6.620000000000000000e+02 4.732000000000000000e+03
6.650000000000000000e+02 4.651000000000000000e+03
6.680000000000000000e+02 4.002000000000000000e+03
6.710000000000000000e+02 3.672000000000000000e+03
6.740000000000000000e+02 3.509000000000000000e+03
6.770000000000000000e+02 3.056000000000000000e+03
6.800000000000000000e+02 2.928000000000000000e+03
6.830000000000000000e+02 2.705000000000000000e+03
6.860000000000000000e+02 2.241000000000000000e+03
6.890000000000000000e+02 2.236000000000000000e+03
6.920000000000000000e+02 2.048000000000000000e+03
6.950000000000000000e+02 1.895000000000000000e+03
6.980000000000000000e+02 1.777000000000000000e+03
