buff,spa,cov,region,odds,odds_lb,odds_ub,pvalues,n
C,0,50,0,0.0062251031325779,0.0057104226850895,0.0067861717333845,3.633742196029744e-10,262
C,10,50,0,0.0062251031325779,0.0057104226850895,0.0067861717333845,3.633742196029744e-10,262
C,20,50,0,0.0062251031325779,0.0057104226850895,0.0067861717333845,3.633742196029744e-10,262
C,30,50,0,0.0062251031325779,0.0057104226850895,0.0067861717333845,3.633742196029744e-10,262
C,40,50,0,0.0062251031325779,0.0057104226850895,0.0067861717333845,3.633742196029744e-10,262
C,50,50,0,0.0062361224836742,0.0057205235013293,0.0067981931413007,3.75225406301638e-10,261
C,60,50,0,0.0063190917034635,0.0057960256087991,0.0068893622374893,1.8902812648491363e-10,251
C,70,50,0,0.0067303540895305,0.0061577334009972,0.0073562239903281,1.5537704456392018e-10,219
C,80,50,0,0.0081931069927103,0.0074842877351146,0.0089690568521376,3.0109521542698303e-09,164
C,90,50,0,0.0121399533951336,0.0109766818505965,0.0134265045158439,0.0001190860534105,96
C,0,50,1,0.0098142284512892,0.009002805510418,0.0106987849490512,3.633742196029744e-10,262
C,10,50,1,0.0098142284512892,0.009002805510418,0.0106987849490512,3.633742196029744e-10,262
C,20,50,1,0.0098142284512892,0.009002805510418,0.0106987849490512,3.633742196029744e-10,262
C,30,50,1,0.0098142284512892,0.009002805510418,0.0106987849490512,3.633742196029744e-10,262
C,40,50,1,0.0098142284512892,0.009002805510418,0.0106987849490512,3.633742196029744e-10,262
C,50,50,1,0.0098278737644353,0.0090153108738214,0.0107136741130187,3.75225406301638e-10,261
C,60,50,1,0.0100574491930135,0.0092249386173572,0.0109650902261533,1.8902812648491363e-10,251
C,70,50,1,0.0108304074261334,0.0099089528822935,0.0118375499822636,1.5537704456392018e-10,219
C,80,50,1,0.0128992089489795,0.0117832455276641,0.0141208626365963,3.0109521542698303e-09,164
C,90,50,1,0.0167389659059174,0.0151350089474717,0.0185129047872992,0.0001190860534105,96
CD,0,50,0,0.0001484121371222,8.874881015260091e-05,0.000248185439414,0.291425324745528,140
CD,10,50,0,0.0001484121371222,8.874881015260091e-05,0.000248185439414,0.291425324745528,140
CD,20,50,0,0.0001484121371222,8.874881015260091e-05,0.000248185439414,0.291425324745528,140
