buff,spa,cov,OR,OR_lb,OR_ub,pvalues,n
C,0,50,1.456301496339702,1.2586000099294778,1.6853950712974088,4.372077011538522e-07,341
C,10,50,1.456301496339702,1.2586000099294778,1.6853950712974088,4.372077011538522e-07,341
C,20,50,1.456301496339702,1.2586000099294778,1.6853950712974088,4.372077011538522e-07,341
C,30,50,1.456301496339702,1.2586000099294778,1.6853950712974088,4.372077011538522e-07,341
C,40,50,1.448458662967648,1.2523227161918644,1.6753129773975874,6.391364275604161e-07,338
C,50,50,1.4395060011871097,1.243587067619062,1.6652911949458864,9.78070656243446e-07,335
C,60,50,1.423188817435677,1.2299825717807529,1.647073373515345,2.212254890165965e-06,317
C,70,50,1.3961242434695904,1.2032184401276953,1.6193097853019272,1.102639334349398e-05,270
C,80,50,1.4160906335959746,1.215310986489731,1.6503708166063191,8.627101622193933e-06,205
C,90,50,1.4021405034053205,1.180573101723276,1.6652911949458864,0.0001166793904696,114
