buff,spa,cov,OR,OR_lb,OR_ub,pvalues,n
C,0,50,1.5581512152129413,1.3271051618171572,1.8294218719978597,6.163216581533959e-08,262
C,10,50,1.5581512152129413,1.3271051618171572,1.8294218719978597,6.163216581533959e-08,262
C,20,50,1.5581512152129413,1.3271051618171572,1.8294218719978597,6.163216581533959e-08,262
C,30,50,1.5581512152129413,1.3271051618171572,1.8294218719978597,6.163216581533959e-08,262
C,40,50,1.5581512152129413,1.3271051618171572,1.8294218719978597,6.163216581533959e-08,262
C,50,50,1.5578396161308457,1.3271051618171572,1.8294218719978597,6.30247489752378e-08,261
C,60,50,1.577434826250428,1.3417839036669714,1.8533596145380853,3.220613442600495e-08,251
C,70,50,1.5912183807612683,1.3498588075760032,1.875733907177512,3.1300897207486855e-08,219
C,80,50,1.5569051927162243,1.3139002448247392,1.8441159448971345,2.9439551685328524e-07,164
C,90,50,1.3499938002062797,1.1229958721332547,1.6241750088442293,0.0014276587764259,96
