buff,spa,cov,OR,OR_lb,OR_ub,pvalues,n
C,0,50,1.2975787138523882,1.0080320855042737,1.6702945698405354,0.0430731475179406,102
C,10,50,1.2975787138523882,1.0080320855042737,1.6702945698405354,0.0430731475179406,102
C,20,50,1.2975787138523882,1.0080320855042737,1.6702945698405354,0.0430731475179406,102
C,30,50,1.2975787138523882,1.0080320855042737,1.6702945698405354,0.0430731475179406,102
C,40,50,1.2975787138523882,1.0080320855042737,1.6702945698405354,0.0430731475179406,102
C,50,50,1.2975787138523882,1.0080320855042737,1.6702945698405354,0.0430731475179406,102
C,60,50,1.2894296644138128,1.0010005001667084,1.6603028076832325,0.0490680377103411,95
C,70,50,1.271503425578147,0.986097544262862,1.6388585607937585,0.063739159993714,88
C,80,50,1.2758338948511925,0.9821610323583008,1.6569855204608508,0.0680010293396449,67
C,90,50,1.1771543992428155,0.8958341352965282,1.54805607705634,0.2424036313720623,51
