buff,spa,cov,OR,OR_lb,OR_ub,pvalues,n
C,0,50,1.548675423348163,1.2943388186242375,1.8533596145380853,1.7616919441021397e-06,239
C,10,50,1.548675423348163,1.2943388186242375,1.8533596145380853,1.7616919441021397e-06,239
C,20,50,1.548675423348163,1.2943388186242375,1.8533596145380853,1.7616919441021397e-06,239
C,30,50,1.548675423348163,1.2943388186242375,1.8533596145380853,1.7616919441021397e-06,239
C,40,50,1.5364890869116754,1.2840254166877414,1.8385918872918932,2.7054712776752865e-06,236
C,50,50,1.5225704620140417,1.272521035308229,1.8221188003905089,4.36919062662966e-06,233
C,60,50,1.5017033041879913,1.2548298679402794,1.7967868744202726,9.207228887087028e-06,222
C,70,50,1.4691735032707436,1.22140275816017,1.7664996682211895,4.313731889626915e-05,182
C,80,50,1.4975044161228293,1.2386226547934522,1.8112188202285728,3.099907004111557e-05,138
C,90,50,1.5361818198220265,1.228753203995312,1.921296080061071,0.0001658837911657,63
