buff,spa,cov,OR,OR_lb,OR_ub,pvalues,n
C,0,50,1.3200901107658698,1.2056272850499248,1.444842038973879,1.9610599810704343e-09,562
C,10,50,1.3200901107658698,1.2056272850499248,1.444842038973879,1.9610599810704343e-09,562
C,20,50,1.3200901107658698,1.2056272850499248,1.444842038973879,1.9610599810704343e-09,562
C,30,50,1.3191663710349588,1.2044222603776298,1.444842038973879,2.124370679368326e-09,561
C,40,50,1.314163051153461,1.1996141938798683,1.4390742141580464,3.6793397217849125e-09,555
C,50,50,1.3048655387166894,1.191246216612358,1.429035869853877,1.0043063491949056e-08,539
C,60,50,1.2977084782118833,1.1841201389239695,1.4219085237185771,2.364047446690165e-08,502
C,70,50,1.2713762815928944,1.1571961880507962,1.3965431435745053,4.982123535945959e-07,422
C,80,50,1.2831269134088965,1.1629966580818203,1.4162322497400237,7.158997663569977e-07,307
C,90,50,1.3895778555876106,1.242344102137764,1.5542607023423058,9.52372203322227e-09,164
CD,0,50,1.3411131794101754,1.1051709180756475,1.6274266093785854,0.0029877059646177,304
CD,10,50,1.3411131794101754,1.1051709180756475,1.6274266093785854,0.0029877059646177,304
CD,20,50,1.3411131794101754,1.1051709180756475,1.6274266093785854,0.0029877059646177,304
CD,30,50,1.3609731563507717,1.120752124884153,1.65367486118276,0.0019027902458603,302
CD,40,50,1.3609731563507717,1.120752124884153,1.65367486118276,0.0019027902458603,302
CD,50,50,1.3485096234729106,1.1096004549155825,1.6388585607937585,0.0026297313797707,294
CD,60,50,1.3328240007048044,1.0963648220808169,1.6193097853019272,0.0038893423049057,283
CD,70,50,1.355404589771852,1.1140477453864677,1.6487212707001282,0.0023973936435863,259
CD,80,50,1.3510742273596834,1.1029627851085078,1.655329363157055,0.0036374833760595,209
CD,90,50,1.283897020565986,1.0202013400267558,1.6160744021928934,0.0330891421831012,120
CG,0,50,1.3097024840406433,1.1084914090760072,1.54805607705634,0.0015296439514105,405
CG,10,50,1.3097024840406433,1.1084914090760072,1.54805607705634,0.0015296439514105,405
CG,20,50,1.3097024840406433,1.1084914090760072,1.54805607705634,0.0015296439514105,405
CG,30,50,1.3187706804801993,1.1151623503414478,1.5589304856219153,0.0011827821118777,403
CG,40,50,1.3174525689653191,1.1140477453864677,1.5573723343417794,0.0012335793986957,402
CG,50,50,1.3107506652444545,1.1084914090760072,1.5496049074195088,0.0015191514314871,397
CG,60,50,1.3008267189517242,1.0996588551261028,1.538795549956865,0.0020979784510639,375
CG,70,50,1.3023886479844544,1.0996588551261028,1.5418762207006325,0.0021766999713017,324
CG,80,50,1.3283000941016627,1.1173949068544582,1.577750344766478,0.0012553335701377,252
CG,90,50,1.4373483608201618,1.188866105084032,1.7384605843650698,0.0001832895208655,133
