buff,spa,cov,OR,OR_lb,OR_ub,pvalues,n
C,0,50,1.325778719986792,1.177036689688467,1.49331726849996,3.7279529672140654e-06,399
C,10,50,1.325778719986792,1.177036689688467,1.49331726849996,3.7279529672140654e-06,399
C,20,50,1.325778719986792,1.177036689688467,1.49331726849996,3.7279529672140654e-06,399
C,30,50,1.325778719986792,1.177036689688467,1.49331726849996,3.7279529672140654e-06,399
C,40,50,1.325778719986792,1.177036689688467,1.49331726849996,3.7279529672140654e-06,399
C,50,50,1.3277688803138623,1.1782143150927222,1.4963068916635829,3.303293288015041e-06,397
C,60,50,1.3387013469876123,1.187677833213906,1.5098344363287448,1.897925037130932e-06,375
C,70,50,1.3435293570406133,1.188866105084032,1.51892067440224,2.2451983707760803e-06,320
C,80,50,1.2995265424293818,1.1445367843513146,1.475504551333055,5.390885314993099e-05,237
C,90,50,1.2865960372848406,1.1151623503414478,1.484384190920914,0.0005752993138641,125
CD,0,50,1.4219085237185771,1.009040621773868,2.003709073941175,0.0443254567174549,214
CD,10,50,1.4219085237185771,1.009040621773868,2.003709073941175,0.0443254567174549,214
CD,20,50,1.4219085237185771,1.009040621773868,2.003709073941175,0.0443254567174549,214
CD,30,50,1.4229042081340688,1.010050167084168,2.0057137852036884,0.0439046490753163,213
CD,40,50,1.4229042081340688,1.010050167084168,2.0057137852036884,0.0439046490753163,213
CD,50,50,1.4253252025500942,1.0110607224447197,2.007720502180154,0.0428673642283059,210
CD,60,50,1.424042986951368,1.010050167084168,2.0057137852036884,0.0433833875352935,206
CD,70,50,1.426751240652859,1.0120722888660778,2.0097292268772886,0.0423565392853444,191
CD,80,50,1.5440363591537078,1.085455809829549,2.196796142353235,0.0156490171250247,151
CD,90,50,1.5219615556186337,1.0242903178906215,2.2614359779865105,0.0377093591460888,89
CG,0,50,1.3499938002062797,1.034584606728118,1.7612081105217428,0.0270358370590919,299
CG,10,50,1.3499938002062797,1.034584606728118,1.7612081105217428,0.0270358370590919,299
CG,20,50,1.3499938002062797,1.034584606728118,1.7612081105217428,0.0270358370590919,299
CG,30,50,1.3499938002062797,1.034584606728118,1.7612081105217428,0.0270358370590919,299
CG,40,50,1.3486444811780307,1.0335505392413056,1.759447782721815,0.0274540945326906,298
CG,50,50,1.3486444811780307,1.0335505392413056,1.759447782721815,0.0274540945326906,298
CG,60,50,1.3439324763125928,1.030454533953517,1.7541773489770915,0.0293316682159885,287
CG,70,50,1.343395010822332,1.0294245944751308,1.752424048424499,0.0297051352008161,256
CG,80,50,1.3268397673251275,1.010050167084168,1.7419409847740754,0.041850872980431,198
CG,90,50,1.3923597923081945,1.0335505392413056,1.875733907177512,0.0293316682159885,102
