buff,spa,cov,OR,OR_lb,OR_ub,pvalues,n
C,0,50,1.2753236633463558,1.1422499983308942,1.4233311434336018,1.53225295542736e-05,424
C,10,50,1.2753236633463558,1.1422499983308942,1.4233311434336018,1.53225295542736e-05,424
C,20,50,1.2753236633463558,1.1422499983308942,1.4233311434336018,1.53225295542736e-05,424
C,30,50,1.2741763884005108,1.141108319267235,1.4233311434336018,1.6399436826963765e-05,423
C,40,50,1.267948195631204,1.1354170177814864,1.4162322497400237,2.4867375894466196e-05,417
C,50,50,1.2557085563529022,1.1241194296905368,1.4021405034053205,5.530418715560259e-05,402
C,60,50,1.2440846019463412,1.1129342544793257,1.3909681284637805,0.0001205524385206,371
C,70,50,1.209733394249182,1.078962574157284,1.356625003006224,0.0011259643294478,300
C,80,50,1.2046631689197564,1.0660923987615052,1.3607009889371502,0.0028357832381606,208
C,90,50,1.3377645839500352,1.1583539630298554,1.5449630589513383,7.589693080478632e-05,94
CD,0,50,1.6364021157469364,1.2943388186242375,2.068864694382971,3.939492008342427e-05,216
CD,10,50,1.6364021157469364,1.2943388186242375,2.068864694382971,3.939492008342427e-05,216
CD,20,50,1.6364021157469364,1.2943388186242375,2.068864694382971,3.939492008342427e-05,216
CD,30,50,1.6778278325335003,1.3244536039352577,2.1254849752831912,1.802890934343715e-05,214
CD,40,50,1.6778278325335003,1.3244536039352577,2.1254849752831912,1.802890934343715e-05,214
CD,50,50,1.6569855204608508,1.307347140014936,2.100131580190361,2.979860537388745e-05,206
CD,60,50,1.6316634240352847,1.2865960372848406,2.068864694382971,5.3223758424980616e-05,196
CD,70,50,1.66962658561835,1.3139002448247392,2.121238253470012,2.801863999835064e-05,173
CD,80,50,1.7021633485208287,1.325778719986792,2.185839575883813,2.9929775449133444e-05,138
CD,90,50,1.5550380270084494,1.1699956139009136,2.06679686377621,0.0023815395461943,71
CG,0,50,1.4854236236135576,1.2140962829562332,1.8166606353305503,0.0001181178248379,301
CG,10,50,1.4854236236135576,1.2140962829562332,1.8166606353305503,0.0001181178248379,301
CG,20,50,1.4854236236135576,1.2140962829562332,1.8166606353305503,0.0001181178248379,301
CG,30,50,1.5024543435842876,1.2275250649631777,1.8385918872918932,7.979997860951826e-05,299
CG,40,50,1.5003523792216442,1.2250724682474992,1.8367542143941895,8.459327200993627e-05,298
CG,50,50,1.4895886380587564,1.2165269053343162,1.823941830554062,0.0001129239034662,293
CG,60,50,1.4763901197078002,1.2056272850499248,1.8076000026120045,0.000166549082226,274
CG,70,50,1.4811221352777912,1.2068335153496053,1.8184782045990515,0.0001747308550581,231
CG,80,50,1.5068177851128537,1.22140275816017,1.858928041846342,0.0001318377795767,172
CG,90,50,1.6751454544761333,1.3244536039352577,2.119118075482217,1.6548361006174517e-05,84
