buff,spa,cov,OR,OR_lb,OR_ub,pvalues,n
C,0,50,1.4976541740522131,1.1723379466807176,1.91362624563612,0.0012335793986957,79
C,10,50,1.4976541740522131,1.1723379466807176,1.91362624563612,0.0012335793986957,79
C,20,50,1.4976541740522131,1.1723379466807176,1.91362624563612,0.0012335793986957,79
C,30,50,1.4976541740522131,1.1723379466807176,1.91362624563612,0.0012335793986957,79
C,40,50,1.4976541740522131,1.1723379466807176,1.91362624563612,0.0012335793986957,79
C,50,50,1.4976541740522131,1.1723379466807176,1.91362624563612,0.0012335793986957,79
C,60,50,1.4885462908761915,1.1653249789427378,1.902178864647392,0.0014626181847485,75
C,70,50,1.4982533555501445,1.1723379466807176,1.915540829013896,0.0012597266879954,70
C,80,50,1.4728510320244834,1.1445367843513146,1.8964808793049517,0.0026645532500191,52
C,90,50,1.3582539301706589,1.0408107741923882,1.771807124429574,0.0240080747680837,39
CD,0,50,1.0348950286710996,0.5998953833811855,1.7860384307500734,0.9021070979671264,43
CD,10,50,1.0348950286710996,0.5998953833811855,1.7860384307500734,0.9021070979671264,43
CD,20,50,1.0348950286710996,0.5998953833811855,1.7860384307500734,0.9021070979671264,43
CD,30,50,1.0348950286710996,0.5998953833811855,1.7860384307500734,0.9021070979671264,43
CD,40,50,1.0348950286710996,0.5998953833811855,1.7860384307500734,0.9021070979671264,43
CD,50,50,1.0348950286710996,0.5998953833811855,1.7860384307500734,0.9021070979671264,43
CD,60,50,1.0348950286710996,0.5998953833811855,1.7860384307500734,0.9021070979671264,43
CD,70,50,1.0348950286710996,0.5998953833811855,1.7860384307500734,0.9021070979671264,43
CD,80,50,1.0950499733613337,0.6212634822474618,1.9309266167394623,0.7535210387653335,34
CD,90,50,1.2265434376145,0.6446807796298013,2.332638429260528,0.533284521840049,23
CG,0,50,1.023164218009425,0.6623242760521223,1.58090900306142,0.917962970954414,56
CG,10,50,1.023164218009425,0.6623242760521223,1.58090900306142,0.917962970954414,56
CG,20,50,1.023164218009425,0.6623242760521223,1.58090900306142,0.917962970954414,56
CG,30,50,1.023164218009425,0.6623242760521223,1.58090900306142,0.917962970954414,56
CG,40,50,1.023164218009425,0.6623242760521223,1.58090900306142,0.917962970954414,56
CG,50,50,1.023164218009425,0.6623242760521223,1.58090900306142,0.917962970954414,56
CG,60,50,1.030969890048781,0.6676441212689289,1.5920141888871011,0.8910307951115017,55
CG,70,50,1.012983563938329,0.6557340393934418,1.5651786956535216,0.9537486285283232,52
CG,80,50,0.9377236402368746,0.6010963747389753,1.4637476054097285,0.7771768370030028,44
CG,90,50,0.9227471736875432,0.5723526251566332,1.4873559300513066,0.7413999621186929,30
