buff,spa,cov,OR,OR_lb,OR_ub,pvalues,n
C,0,50,1.4565927857669416,1.2201819658998725,1.7384605843650698,3.25287542284336e-05,81
C,10,50,1.4565927857669416,1.2201819658998725,1.7384605843650698,3.25287542284336e-05,81
C,20,50,1.4565927857669416,1.2201819658998725,1.7384605843650698,3.25287542284336e-05,81
C,30,50,1.4565927857669416,1.2201819658998725,1.7384605843650698,3.25287542284336e-05,81
C,40,50,1.4565927857669416,1.2201819658998725,1.7384605843650698,3.25287542284336e-05,81
C,50,50,1.4565927857669416,1.2201819658998725,1.7384605843650698,3.25287542284336e-05,81
C,60,50,1.4493279989401402,1.2128827935191195,1.7315206311872335,4.426703057758274e-05,80
C,70,50,1.46521208513296,1.2226247718233272,1.7559324037071788,3.442903433725775e-05,72
C,80,50,1.5059139656147498,1.2523227161918644,1.8112188202285728,1.3801221933729124e-05,59
C,90,50,1.406493883218256,1.152576648537005,1.7160068621848583,0.0007654365904536,41
CD,0,50,1.104066299558882,0.7430440123619398,1.640498239057044,0.6241338988347811,44
CD,10,50,1.104066299558882,0.7430440123619398,1.640498239057044,0.6241338988347811,44
CD,20,50,1.104066299558882,0.7430440123619398,1.640498239057044,0.6241338988347811,44
CD,30,50,1.104066299558882,0.7430440123619398,1.640498239057044,0.6241338988347811,44
CD,40,50,1.104066299558882,0.7430440123619398,1.640498239057044,0.6241338988347811,44
CD,50,50,1.104066299558882,0.7430440123619398,1.640498239057044,0.6241338988347811,44
CD,60,50,1.104066299558882,0.7430440123619398,1.640498239057044,0.6241338988347811,44
CD,70,50,1.104066299558882,0.7430440123619398,1.640498239057044,0.6241338988347811,44
CD,80,50,1.0605631069061014,0.7089289280495108,1.5856588512805472,0.7748781215542437,39
CD,90,50,1.178803569551607,0.7527666447061963,1.8459609832074333,0.4721409196828832,24
CG,0,50,1.0409148604740348,0.7580544971105083,1.430465620479898,0.8049082240738077,55
CG,10,50,1.0409148604740348,0.7580544971105083,1.430465620479898,0.8049082240738077,55
CG,20,50,1.0409148604740348,0.7580544971105083,1.430465620479898,0.8049082240738077,55
CG,30,50,1.0409148604740348,0.7580544971105083,1.430465620479898,0.8049082240738077,55
CG,40,50,1.0409148604740348,0.7580544971105083,1.430465620479898,0.8049082240738077,55
CG,50,50,1.0409148604740348,0.7580544971105083,1.430465620479898,0.8049082240738077,55
CG,60,50,1.0409148604740348,0.7580544971105083,1.430465620479898,0.8049082240738077,55
CG,70,50,1.0349985233486143,0.7535197878597173,1.4219085237185771,0.8321070343224413,54
CG,80,50,1.0222437844704382,0.7408182206817179,1.4105786355076784,0.8934025744350933,46
CG,90,50,0.9711250832366348,0.6845456126662782,1.378505580893754,0.869731143810994,30
