buff,spa,cov,OR,OR_lb,OR_ub,pvalues,n
C,0,50,1.4260380433467177,1.2750686241184597,1.5936069993484847,4.3757086842788335e-10,243
C,10,50,1.4260380433467177,1.2750686241184597,1.5936069993484847,4.3757086842788335e-10,243
C,20,50,1.4260380433467177,1.2750686241184597,1.5936069993484847,4.3757086842788335e-10,243
C,30,50,1.4260380433467177,1.2750686241184597,1.5936069993484847,4.3757086842788335e-10,243
C,40,50,1.4260380433467177,1.2750686241184597,1.5936069993484847,4.3757086842788335e-10,243
C,50,50,1.4177909623495026,1.2687091928249108,1.5856588512805472,8.678109342241668e-10,240
C,60,50,1.4086052071401516,1.2598592394492314,1.5745979974750188,1.8324832762317558e-09,236
C,70,50,1.3829238642356931,1.2349123550613943,1.5496049074195088,2.180927083372808e-08,209
C,80,50,1.336160229254635,1.1864907490217118,1.5038071611701118,1.586656303897982e-06,154
C,90,50,1.3056486929626985,1.1399677813119904,1.4948113326760428,0.0001124625665287,78
CD,0,50,1.4912280870922785,1.1664908867784396,1.9059870292719228,0.0014425459725806,135
CD,10,50,1.4912280870922785,1.1664908867784396,1.9059870292719228,0.0014425459725806,135
CD,20,50,1.4912280870922785,1.1664908867784396,1.9059870292719228,0.0014425459725806,135
CD,30,50,1.498403188377216,1.1711661947076697,1.9174573279326608,0.0012908781786182,134
CD,40,50,1.4921230924192816,1.1664908867784396,1.9098028178471125,0.0014525501238216,133
CD,50,50,1.475209479930912,1.152576648537005,1.8870221414587376,0.0019747748645297,131
CD,60,50,1.4684391001351922,1.1468281485203982,1.8794891289619104,0.002280805747086,129
CD,70,50,1.44802419054288,1.1297541017803188,1.8570700429587728,0.0034779154050623,120
CD,80,50,1.3991990979049111,1.087628893808826,1.8003840441397765,0.0089489036525138,102
CD,90,50,1.3497238284443145,1.0222437844704382,1.780688344599613,0.0341750676847985,63
CG,0,50,1.3679318490315369,1.1274968515793755,1.6586433347503051,0.0014676762961935,181
CG,10,50,1.3679318490315369,1.1274968515793755,1.6586433347503051,0.0014676762961935,181
CG,20,50,1.3679318490315369,1.1274968515793755,1.6586433347503051,0.0014676762961935,181
CG,30,50,1.3658814894121465,1.1263699182883529,1.6569855204608508,0.0015615233162689,179
CG,40,50,1.3658814894121465,1.1263699182883529,1.6569855204608508,0.0015615233162689,179
CG,50,50,1.3725907329328189,1.1320158709991752,1.6652911949458864,0.0013135628957201,178
CG,60,50,1.3582539301706589,1.119631932948586,1.6487212707001282,0.0019286829060931,170
CG,70,50,1.329363159346345,1.0941742837052104,1.614459135558623,0.0041177179865683,154
CG,80,50,1.3596128634542268,1.1162780704588713,1.6569855204608508,0.002311377097774,126
CG,90,50,1.305126537923483,1.0533757425133647,1.6160744021928934,0.0147687740071265,71
