class,mean_Ess,lower_ci_Ess,upper_ci_Ess,mean_NonEss,lower_ci_NonEss,upper_ci_NonEss,pvalue,buff,spa
SHphob,0.4306160208968219,0.4161950370047889,0.4447104919460165,0.4212984762473857,0.4132768150582611,0.429265013444876,0.264,CD,10
WHphob,0.2268508924684371,0.2150576839355681,0.238136700043535,0.2552171347475351,0.2479085748431431,0.2623263370182253,0.0,CD,10
Hphil,0.3121025250326513,0.2997333478450152,0.3258707009142359,0.2875959814759486,0.2795787272184045,0.2954884971616373,0.0028,CD,10
Arom,0.1251314758380496,0.1155801044841097,0.1347464083587287,0.1768132656109949,0.1704492829399462,0.1830015685688676,0.0,CD,10
pureHphob,0.4674246843709186,0.4536297344362211,0.4819329560296038,0.487241186136839,0.4781875560203167,0.4955221093516582,0.0238,CD,10
pureHphil,0.1363352198519808,0.1264693077927731,0.1462831954723552,0.1152945921720944,0.1098726471466985,0.1207051090528831,0.0001,CD,10
pureArom,0.0104484109708315,0.0078308663474096,0.0132781889420983,0.0389494323274574,0.0357764415894831,0.0423513594263519,0.0,CD,10
SHphob,0.4306898127993034,0.4166303874619068,0.4445091423595995,0.4215522856289214,0.4135027636689573,0.4295656558111742,0.2682,CD,20
WHphob,0.2268276012189812,0.2146277753591641,0.238789725729212,0.2552063041529728,0.247832013743651,0.2631461009859576,0.0001,CD,20
Hphil,0.311961471484545,0.2992979973878972,0.324553765781454,0.2876462503734687,0.2801762772632208,0.2951168957275172,0.0018,CD,20
Arom,0.1248075750979538,0.1155855463648236,0.1343110579016108,0.1767513444876008,0.1699992530624439,0.1830743949805796,0.0,CD,20
pureHphob,0.467607096212451,0.4540705267740531,0.4821560731388768,0.4871633552435016,0.479082013743651,0.4955183746638781,0.0232,CD,20
pureHphil,0.1364884632128863,0.1264693077927731,0.1471484545058772,0.115141694054377,0.1098707798028084,0.1210057514191813,0.0002,CD,20
pureArom,0.0104488463212886,0.0076186329995646,0.0134958641706573,0.0389599641469973,0.0357036151777711,0.0420544517478338,0.0,CD,20
