Metric|Essential True Mean|Essential True 95% CI low|Essential True 95% CI high|Essential False Mean|Essential False 95% CI low|Essential False 95% CI high|Permutation Test p-value|n|Essential True n|Essential False n
Hydrophob-Hydrophob|0.958904109589041|0.8904109589041096|0.9863013698630136|0.960352422907489|0.9295154185022027|0.9823788546255506|1.0|1|73|227
StrHydrophob-StrHydrophob|0.9178082191780822|0.8356164383561644|0.9726027397260274|0.8986784140969163|0.8546255506607929|0.933920704845815|0.8283171682831717|1|73|227
Aromatic-Aromatic|0.3013698630136986|0.2054794520547945|0.410958904109589|0.5198237885462555|0.45374449339207046|0.5859030837004405|0.0015998400159984002|1|73|227
Hydrophil-Hydrophil|0.7945205479452054|0.684931506849315|0.8767123287671232|0.7797356828193832|0.7224669603524229|0.8281938325991189|0.9353064693530647|1|73|227
Hydrophob-Aromatic|0.7945205479452054|0.684931506849315|0.8767123287671232|0.7929515418502202|0.73568281938326|0.8414096916299559|1.0|1|73|227
Hydrophob-Charged|0.9178082191780822|0.8356164383561644|0.9726027397260274|0.8898678414096917|0.8458149779735683|0.9251101321585903|0.6475352464753524|1|73|227
Hydrophob-NegCharged|0.6712328767123288|0.5616438356164384|0.7671232876712328|0.7224669603524229|0.6607929515418502|0.7797356828193832|0.47095290470952905|1|73|227
Hydrophob-PosCharged|0.8493150684931506|0.7534246575342466|0.9178082191780822|0.8149779735682819|0.762114537444934|0.8634361233480177|0.6315368463153684|1|73|227
PosCharged-PosCharged|0.3561643835616438|0.2465753424657534|0.4657534246575342|0.3876651982378855|0.32599118942731276|0.45374449339207046|0.7329267073292671|1|73|227
NegCharged-NegCharged|0.1780821917808219|0.0958904109589041|0.273972602739726|0.2026431718061674|0.15418502202643172|0.2599118942731278|0.7825217478252174|1|73|227
FF-FY-SY-TY-HC|0.273972602739726|0.1780821917808219|0.3835616438356164|0.4669603524229075|0.4008810572687225|0.5330396475770925|0.004999500049995001|1|73|227
FF|0.0547945205479452|0.0136986301369863|0.1232876712328767|0.1762114537444934|0.1277533039647577|0.2290748898678414|0.010998900109989001|1|73|227
FY|0.1506849315068493|0.0821917808219178|0.2465753424657534|0.2643171806167401|0.21145374449339208|0.32599118942731276|0.059994000599940006|1|73|227
TY|0.136986301369863|0.0684931506849315|0.2328767123287671|0.19383259911894274|0.14537444933920704|0.2511013215859031|0.34096590340965904|1|73|227
SY|0.0684931506849315|0.0273972602739726|0.1506849315068493|0.15418502202643172|0.1145374449339207|0.20704845814977973|0.08239176082391761|1|73|227
