,Metric,Essential,Essential_lb,Essential_ub,Essential_n,NonEssential,NonEssential_lb,NonEssential_ub,NonEssential_n,pvalues
18,Hydrophob-Hydrophob,0.8775510204081632,0.08163265306122447,0.05102040816326536,98,0.8874172185430463,0.039735099337748325,0.03311258278145701,302,1.0
19,StrHydrophob-StrHydrophob,0.7755102040816326,0.09183673469387754,0.07142857142857151,98,0.8211920529801324,0.04635761589403975,0.039735099337748325,302,0.6796774867967749
20,Aromatic-Aromatic,0.1836734693877551,0.07142857142857144,0.09183673469387751,98,0.3708609271523179,0.05298013245033112,0.05960264900662249,302,0.014398560143985602
21,Hydrophil-Hydrophil,0.6836734693877551,0.10204081632653061,0.08163265306122447,98,0.6490066225165563,0.056291390728476776,0.052980132450331174,302,0.7860071135743568
22,Hydrophob-Aromatic,0.7244897959183674,0.09183673469387754,0.08163265306122447,98,0.7715231788079471,0.04966887417218546,0.04635761589403964,302,0.6796774867967749
23,Hydrophob-Charged,0.7959183673469388,0.09183673469387754,0.0714285714285714,98,0.8245033112582781,0.04635761589403975,0.039735099337748325,302,0.7860071135743568
24,Hydrophob-NegCharged,0.5408163265306123,0.10204081632653067,0.10204081632653061,98,0.5794701986754967,0.056291390728476776,0.05629139072847689,302,0.7860071135743568
25,Hydrophob-PosCharged,0.7448979591836735,0.09183673469387765,0.08163265306122447,98,0.7417218543046358,0.052980132450331174,0.04635761589403975,302,1.0
26,PosCharged-PosCharged,0.17346938775510204,0.061224489795918366,0.0816326530612245,98,0.17218543046357615,0.039735099337748325,0.04635761589403975,302,1.0
27,NegCharged-NegCharged,0.08163265306122448,0.04081632653061224,0.07142857142857144,98,0.06291390728476821,0.023178807947019868,0.033112582781456956,302,0.7888011198880113
28,FF-FY-SY-TY-HC,0.14285714285714285,0.061224489795918366,0.0816326530612245,98,0.2781456953642384,0.04635761589403972,0.052980132450331174,302,0.025797420257974206
29,FF-FY-SY-HC,0.14285714285714285,0.061224489795918366,0.0816326530612245,98,0.2781456953642384,0.04966887417218541,0.04966887417218546,302,0.025797420257974206
30,FF,0.0,,,98,0.08278145695364239,0.026490066225165566,0.03642384105960264,302,0.014398560143985602
31,FY,0.02040816326530612,0.02040816326530612,0.05102040816326531,98,0.10264900662251655,0.029801324503311258,0.03836620189287221,302,0.025797420257974206
32,TY,0.01020408163265306,0.01020408163265306,0.04382365255316138,98,0.056291390728476824,0.023178807947019868,0.02980132450331125,302,0.203979602039796
33,SY,0.01020408163265306,0.01020408163265306,0.05102040816326531,98,0.052980132450331126,0.01986754966887417,0.029801324503311265,302,0.203979602039796
34,HC,0.01020408163265306,0.01020408163265306,0.042054900129447306,98,0.052980132450331126,0.01986754966887417,0.029801324503311265,302,0.203979602039796
35,MR,0.08163265306122448,0.04081632653061224,0.07142857142857144,98,0.016556291390728478,0.009933774834437088,0.01986754966887417,302,0.025797420257974206
