,Metric,Essential,Essential_lb,Essential_ub,Essential_n,NonEssential,NonEssential_lb,NonEssential_ub,NonEssential_n,pvalues
36,Hydrophob-Hydrophob,0.7945205479452054,0.1095890410958904,0.0821917808219178,73,0.8502202643171806,0.052863436123347984,0.04405286343612336,227,0.82991700829917
37,StrHydrophob-StrHydrophob,0.6712328767123288,0.12328767123287676,0.09589041095890405,73,0.7312775330396476,0.06167400881057272,0.052863436123347984,227,0.82991700829917
38,Aromatic-Aromatic,0.1095890410958904,0.0547945205479452,0.0821917808219178,73,0.21585903083700442,0.0484581497797357,0.05726872246696035,227,0.2798720127987201
39,Hydrophil-Hydrophil,0.547945205479452,0.1095890410958904,0.1095890410958904,73,0.5242290748898678,0.06607929515418498,0.06607929515418509,227,1.0
40,Hydrophob-Aromatic,0.6164383561643836,0.12328767123287676,0.1095890410958904,73,0.6916299559471366,0.06167400881057272,0.05726872246696035,227,0.82991700829917
41,Hydrophob-Charged,0.684931506849315,0.1095890410958904,0.09589041095890416,73,0.7136563876651982,0.06167400881057272,0.05726872246696035,227,1.0
42,Hydrophob-NegCharged,0.4657534246575342,0.1095890410958904,0.1095890410958904,73,0.4977973568281938,0.06607929515418498,0.06607929515418509,227,1.0
43,Hydrophob-PosCharged,0.6027397260273972,0.1232876712328767,0.1095890410958904,73,0.6167400881057269,0.06607929515418509,0.06167400881057272,227,1.0
44,PosCharged-PosCharged,0.0821917808219178,0.0547945205479452,0.0821917808219178,73,0.09251101321585903,0.035242290748898675,0.04405286343612336,227,1.0
45,NegCharged-NegCharged,0.0136986301369863,0.0136986301369863,0.0547945205479452,73,0.00881057268722467,0.00881057268722467,0.02202643171806167,227,1.0
46,FF-FY-SY-TY-HC,0.0273972602739726,0.0273972602739726,0.0684931506849315,73,0.18061674008810572,0.04845814977973567,0.05286343612334804,227,0.0047995200479952005
47,FF-FY-SY-HC,0.0273972602739726,0.0273972602739726,0.0684931506849315,73,0.18061674008810572,0.04618064324124646,0.05286343612334804,227,0.0035996400359964006
48,FF,0.0,,,73,0.02643171806167401,0.017621145374449337,0.02643171806167401,227,0.82991700829917
49,FY,0.0136986301369863,0.0136986301369863,0.06729865149115029,73,0.04405286343612335,0.022026431718061675,0.03083700440528634,227,0.82991700829917
50,TY,0.0,,,73,0.013215859030837005,0.008810572687224669,0.02202643171806168,227,1.0
51,SY,0.0,,,73,0.013215859030837005,0.008810572687224669,0.02202643171806168,227,1.0
52,HC,0.0,,,73,0.013215859030837005,0.008810572687224669,0.026431718061674013,227,1.0
53,MR,0.0684931506849315,0.0410958904109589,0.0821917808219178,73,0.0,,,227,0.0047995200479952005
