,Metric,Essential,Essential_lb,Essential_ub,Essential_n,NonEssential,NonEssential_lb,NonEssential_ub,NonEssential_n,pvalues
72,Hydrophob-Hydrophob,0.7288135593220338,0.11864406779661008,0.10169491525423735,59,0.7748344370860927,0.07284768211920523,0.0596026490066226,151,1.0
73,StrHydrophob-StrHydrophob,0.5254237288135594,0.13559322033898308,0.11864406779661008,59,0.5960264900662252,0.07947019867549676,0.07947019867549665,151,1.0
74,Aromatic-Aromatic,0.0,,,59,0.1390728476821192,0.04635761589403972,0.059602649006622516,151,0.021597840215978402
75,Hydrophil-Hydrophil,0.3389830508474576,0.11864406779661016,0.13559322033898308,59,0.3841059602649007,0.07284768211920534,0.07947019867549665,151,1.0
76,Hydrophob-Aromatic,0.4576271186440678,0.11864406779661019,0.13559322033898302,59,0.5960264900662252,0.07947019867549676,0.07284768211920523,151,0.40675932406759324
77,Hydrophob-Charged,0.4576271186440678,0.11864406779661019,0.13559322033898302,59,0.5761589403973509,0.07947019867549665,0.07947019867549676,151,0.5874612538746126
78,Hydrophob-NegCharged,0.2711864406779661,0.1016949152542373,0.13559322033898308,59,0.3509933774834437,0.07284768211920534,0.07947019867549665,151,0.905566586198523
79,Hydrophob-PosCharged,0.3559322033898305,0.11864406779661016,0.13559322033898308,59,0.4370860927152318,0.0794701986754967,0.07947019867549665,151,0.905566586198523
80,PosCharged-PosCharged,0.01694915254237288,0.01694915254237288,0.08474576271186442,59,0.033112582781456956,0.019867549668874177,0.03973509933774834,151,1.0
81,NegCharged-NegCharged,0.0,,,59,0.0,,,151,1.0
82,FF-FY-SY-TY-HC,0.0,,,59,0.09933774834437085,0.03973509933774834,0.05960264900662253,151,0.07439256074392561
83,FF-FY-SY-HC,0.0,,,59,0.09933774834437085,0.03973509933774834,0.05298013245033113,151,0.07439256074392561
84,FF,0.0,,,59,0.006622516556291391,0.006622516556291391,0.031086543937149054,151,1.0
85,FY,0.0,,,59,0.019867549668874173,0.013245033112582783,0.033112582781456956,151,1.0
86,TY,0.0,,,59,0.013245033112582781,0.013245033112582781,0.033112582781456956,151,1.0
87,SY,0.0,,,59,0.0,,,151,1.0
88,HC,0.0,,,59,0.0,,,151,1.0
89,MR,0.0,,,59,0.0,,,151,1.0
