Metric|Essential True Mean|Essential True 95% CI low|Essential True 95% CI high|Essential False Mean|Essential False 95% CI low|Essential False 95% CI high|Permutation Test p-value|n|Essential True n|Essential False n
Hydrophob-Hydrophob|0.8636363636363636|0.7272727272727273|0.9545454545454546|0.979381443298969|0.9278350515463918|1.0|0.022797720227977204|1|44|97
StrHydrophob-StrHydrophob|0.8409090909090909|0.7045454545454546|0.9318181818181818|0.8969072164948454|0.8247422680412371|0.9484536082474226|0.501949805019498|1|44|97
Aromatic-Aromatic|0.22727272727272727|0.11363636363636363|0.36363636363636365|0.5670103092783505|0.4639175257731959|0.6701030927835051|0.000999900009999|1|44|97
Hydrophil-Hydrophil|0.6136363636363636|0.4772727272727273|0.75|0.7422680412371134|0.6494845360824743|0.8247422680412371|0.18198180181981802|1|44|97
Hydrophob-Aromatic|0.6590909090909091|0.5227272727272727|0.7954545454545454|0.865979381443299|0.7835051546391752|0.9278350515463918|0.0103989601039896|1|44|97
Hydrophob-Charged|0.8636363636363636|0.7272727272727273|0.9545454545454546|0.9175257731958762|0.845360824742268|0.9587628865979382|0.47035296470352966|1|44|97
Hydrophob-NegCharged|0.5909090909090909|0.4318181818181818|0.7272727272727273|0.7835051546391752|0.6907216494845361|0.8556701030927835|0.036196380361963806|1|44|97
Hydrophob-PosCharged|0.7272727272727273|0.5681818181818182|0.8409090909090909|0.8041237113402062|0.711340206185567|0.8762886597938144|0.41475852414758524|1|44|97
PosCharged-PosCharged|0.25|0.13636363636363635|0.38636363636363635|0.31958762886597936|0.23711340206185566|0.41237113402061853|0.5165483451654834|1|44|97
NegCharged-NegCharged|0.20454545454545456|0.11363636363636363|0.3409090909090909|0.21649484536082475|0.14432989690721648|0.30927835051546393|1.0|1|44|97
FF-FY-SY-TY-HC|0.11363636363636363|0.045454545454545456|0.25|0.4639175257731959|0.36082474226804123|0.5670103092783505|0.00019998000199980003|1|44|97
FF|0.06818181818181818|0.022727272727272728|0.18181818181818182|0.15463917525773196|0.09278350515463918|0.23711340206185566|0.24397560243975602|1|44|97
FY|0.06818181818181818|0.022727272727272728|0.18181818181818182|0.26804123711340205|0.18556701030927836|0.36082474226804123|0.010798920107989201|1|44|97
TY|0.022727272727272728|0.0|0.13636363636363635|0.24742268041237114|0.16494845360824742|0.3402061855670103|0.000999900009999|1|44|97
SY|0.022727272727272728|0.0|0.1338661738030334|0.14432989690721648|0.08247422680412371|0.2268041237113402|0.042195780421957804|1|44|97
HC|0.022727272727272728|0.0|0.11363636363636363|0.14432989690721648|0.08247422680412371|0.2268041237113402|0.045795420457954206|1|44|97
MR|0.11363636363636363|0.045454545454545456|0.22727272727272727|0.1134020618556701|0.061855670103092786|0.1958762886597938|1.0|1|44|97
Hydrophob-Hydrophob|0.7272727272727273|0.5909090909090909|0.8409090909090909|0.8969072164948454|0.8247422680412371|0.9484536082474226|0.027197280271972803|2|44|97
