Metric|Essential True Mean|Essential True 95% CI low|Essential True 95% CI high|Essential False Mean|Essential False 95% CI low|Essential False 95% CI high|Permutation Test p-value|n|Essential True n|Essential False n
Hydrophob-Hydrophob|0.8888888888888888|0.8024691358024691|0.9382716049382716|0.9836065573770492|0.9562841530054644|0.994535519125683|0.0029997000299970002|1|81|183
StrHydrophob-StrHydrophob|0.8395061728395061|0.7407407407407407|0.9012345679012346|0.907103825136612|0.8579234972677595|0.9453551912568307|0.17738226177382263|1|81|183
Aromatic-Aromatic|0.30864197530864196|0.20987654320987653|0.41975308641975306|0.5683060109289617|0.4972677595628415|0.639344262295082|0.00039996000399960006|1|81|183
Hydrophil-Hydrophil|0.7160493827160493|0.6049382716049383|0.8148148148148148|0.7704918032786885|0.7049180327868853|0.825136612021858|0.42775722427757223|1|81|183
Hydrophob-Aromatic|0.7283950617283951|0.6296296296296297|0.8148148148148148|0.8469945355191257|0.7868852459016393|0.8907103825136612|0.043195680431956804|1|81|183
Hydrophob-Charged|0.8888888888888888|0.8024691358024691|0.9382716049382716|0.907103825136612|0.8579234972677595|0.9453551912568307|0.7901209879012099|1|81|183
Hydrophob-NegCharged|0.6790123456790124|0.5679012345679012|0.7777777777777778|0.7650273224043715|0.6994535519125683|0.825136612021858|0.19558044195580443|1|81|183
Hydrophob-PosCharged|0.8024691358024691|0.7037037037037037|0.8765432098765432|0.8142076502732241|0.7540983606557377|0.8633879781420765|0.948905109489051|1|81|183
PosCharged-PosCharged|0.32098765432098764|0.2222222222222222|0.43209876543209874|0.3770491803278688|0.3114754098360656|0.44808743169398907|0.46135386461353867|1|81|183
NegCharged-NegCharged|0.20987654320987653|0.13580246913580246|0.30864197530864196|0.20218579234972678|0.14754098360655737|0.2638277426325002|1.0|1|81|183
FF-FY-SY-TY-HC|0.19753086419753085|0.12345679012345678|0.2962962962962963|0.46994535519125685|0.3989071038251366|0.5409836065573771|0.00019998000199980003|1|81|183
FF|0.037037037037037035|0.012345679012345678|0.09876543209876543|0.17486338797814208|0.12568306010928962|0.23497267759562843|0.0021997800219978004|1|81|183
FY|0.08641975308641975|0.037037037037037035|0.16049382716049382|0.24043715846994534|0.18579234972677597|0.30601092896174864|0.004199580041995801|1|81|183
TY|0.09876543209876543|0.04938271604938271|0.17340644314902384|0.20765027322404372|0.15300546448087432|0.273224043715847|0.045995400459954004|1|81|183
SY|0.037037037037037035|0.012345679012345678|0.09876543209876543|0.12568306010928962|0.08196721311475409|0.18032786885245902|0.0331966803319668|1|81|183
HC|0.037037037037037035|0.012345679012345678|0.09876543209876543|0.12568306010928962|0.08196721311475409|0.18032786885245902|0.0357964203579642|1|81|183
MR|0.12345679012345678|0.06172839506172839|0.20987654320987653|0.08743169398907104|0.0546448087431694|0.1366120218579235|0.4771522847715228|1|81|183
Hydrophob-Hydrophob|0.8024691358024691|0.7037037037037037|0.8765432098765432|0.907103825136612|0.8579234972677595|0.9453551912568307|0.035596440355964404|2|81|183
StrHydrophob-StrHydrophob|0.7160493827160493|0.6049382716049383|0.8024691358024691|0.8032786885245902|0.7431693989071039|0.8579234972677595|0.1591840815918408|2|81|183
