,Metric,Essential,Essential_lb,Essential_ub,Essential_n,NonEssential,NonEssential_lb,NonEssential_ub,NonEssential_n,pvalues
36,Hydrophob-Hydrophob,0.7272727272727273,0.12727272727272732,0.10909090909090902,55,0.8540145985401459,0.06569343065693423,0.051094890510948954,137,0.3947605239476053
37,StrHydrophob-StrHydrophob,0.6181818181818182,0.12727272727272726,0.12727272727272732,55,0.7299270072992701,0.08029197080291972,0.07299270072992703,137,0.4166583341665834
38,Aromatic-Aromatic,0.09090909090909091,0.05454545454545455,0.1090909090909091,55,0.18248175182481752,0.058394160583941604,0.07299270072992703,137,0.4166583341665834
39,Hydrophil-Hydrophil,0.509090909090909,0.1272727272727272,0.12727272727272732,55,0.49635036496350365,0.08029197080291972,0.08029197080291967,137,1.0
40,Hydrophob-Aromatic,0.5636363636363636,0.12727272727272726,0.12727272727272732,55,0.6788321167883211,0.08029197080291961,0.07299270072992703,137,0.4166583341665834
41,Hydrophob-Charged,0.6545454545454545,0.12727272727272732,0.12727272727272732,55,0.7299270072992701,0.08029197080291972,0.07299270072992703,137,0.7505249475052495
42,Hydrophob-NegCharged,0.41818181818181815,0.12727272727272726,0.12727272727272726,55,0.49635036496350365,0.08029197080291972,0.08029197080291967,137,0.7505249475052495
43,Hydrophob-PosCharged,0.5636363636363636,0.12727272727272726,0.12727272727272732,55,0.5620437956204379,0.08706595510319032,0.08029197080291972,137,1.0
44,PosCharged-PosCharged,0.14545454545454545,0.07272727272727272,0.10909090909090907,55,0.06569343065693431,0.03649635036496351,0.0510948905109489,137,0.4166583341665834
45,NegCharged-NegCharged,0.03636363636363636,0.03636363636363636,0.08762087634416026,55,0.014598540145985401,0.014598540145985401,0.0364963503649635,137,1.0
46,FF-FY-SY-TY-HC,0.01818181818181818,0.01818181818181818,0.07272727272727272,55,0.17518248175182483,0.05839416058394162,0.072992700729927,137,0.043195680431956804
47,FF-FY-SY-HC,0.01818181818181818,0.01818181818181818,0.07272727272727272,55,0.17518248175182483,0.05839416058394162,0.072992700729927,137,0.043195680431956804
48,FF,0.0,,,55,0.014598540145985401,0.014598540145985401,0.0364963503649635,137,1.0
49,FY,0.01818181818181818,0.01818181818181818,0.07272727272727272,55,0.0364963503649635,0.0218978102189781,0.043795620437956206,137,1.0
50,TY,0.0,,,55,0.014598540145985401,0.014598540145985401,0.0364963503649635,137,1.0
51,SY,0.0,,,55,0.014598540145985401,0.014598540145985401,0.0364963503649635,137,1.0
52,HC,0.0,,,55,0.014598540145985401,0.014598540145985401,0.0364963503649635,137,1.0
53,MR,0.05454545454545454,0.03636363636363636,0.09090909090909091,55,0.0072992700729927005,0.0072992700729927005,0.03649635036496351,137,0.4166583341665834
