,Metric,Essential,Essential_lb,Essential_ub,Essential_n,NonEssential,NonEssential_lb,NonEssential_ub,NonEssential_n,pvalues
36,Hydrophob-Hydrophob,0.7654320987654321,0.09876543209876543,0.0864197530864198,81,0.8743169398907104,0.05464480874316935,0.04371584699453557,183,0.14686531346865314
37,StrHydrophob-StrHydrophob,0.6049382716049383,0.11111111111111116,0.09876543209876543,81,0.726775956284153,0.06557377049180335,0.060109289617486295,183,0.17998200179982002
38,Aromatic-Aromatic,0.08641975308641975,0.04938271604938271,0.07407407407407407,81,0.19672131147540983,0.054644808743169404,0.06010928961748635,183,0.14686531346865314
39,Hydrophil-Hydrophil,0.5308641975308642,0.11111111111111116,0.11111111111111105,81,0.546448087431694,0.0710382513661203,0.07103825136612019,183,1.0
40,Hydrophob-Aromatic,0.5308641975308642,0.11111111111111116,0.11111111111111105,81,0.73224043715847,0.06557377049180335,0.06557377049180324,183,0.011998800119988001
41,Hydrophob-Charged,0.7037037037037037,0.11111111111111116,0.08641975308641969,81,0.7540983606557377,0.06557377049180324,0.060109289617486406,183,0.701029897010299
42,Hydrophob-NegCharged,0.37037037037037035,0.09876543209876543,0.1111111111111111,81,0.5027322404371585,0.07650273224043719,0.07103825136612019,183,0.17998200179982002
43,Hydrophob-PosCharged,0.6049382716049383,0.11111111111111116,0.09876543209876543,81,0.6065573770491803,0.07103825136612019,0.07103825136612019,183,1.0
44,PosCharged-PosCharged,0.12345679012345678,0.06172839506172839,0.08641975308641975,81,0.06557377049180328,0.027322404371584702,0.04371584699453551,183,0.3615638436156384
45,NegCharged-NegCharged,0.012345679012345678,0.012345679012345678,0.04938271604938271,81,0.01092896174863388,0.01092896174863388,0.027322404371584702,183,1.0
46,FF-FY-SY-TY-HC,0.024691358024691357,0.024691358024691357,0.04938271604938271,81,0.1912568306010929,0.054644808743169376,0.06010928961748635,183,0.007199280071992801
47,FF-FY-SY-HC,0.024691358024691357,0.024691358024691357,0.06172839506172839,81,0.1912568306010929,0.054644808743169376,0.06010928961748635,183,0.007199280071992801
48,FF,0.0,,,81,0.0273224043715847,0.016393442622950817,0.032786885245901634,183,0.5137668051376681
49,FY,0.012345679012345678,0.012345679012345678,0.06172839506172839,81,0.04918032786885246,0.02185792349726776,0.03825136612021858,183,0.4981901809819018
50,TY,0.0,,,81,0.01639344262295082,0.010928961748633882,0.0273224043715847,183,0.925938175413228
51,SY,0.0,,,81,0.01092896174863388,0.01092896174863388,0.027322404371584702,183,1.0
52,HC,0.0,,,81,0.01092896174863388,0.01092896174863388,0.027322404371584702,183,1.0
53,MR,0.037037037037037035,0.024691358024691357,0.06172839506172839,81,0.00546448087431694,0.00546448087431694,0.027322404371584702,183,0.3615638436156384
