,Metric,Essential,Essential_lb,Essential_ub,Essential_n,NonEssential,NonEssential_lb,NonEssential_ub,NonEssential_n,pvalues
54,Hydrophob-Hydrophob,0.6136363636363636,0.15909090909090912,0.13636363636363635,44,0.8144329896907216,0.09278350515463918,0.0715483995530487,97,0.287071292870713
55,StrHydrophob-StrHydrophob,0.5227272727272727,0.13636363636363635,0.13636363636363635,44,0.6494845360824743,0.09278350515463918,0.09278350515463918,97,0.4814518548145186
56,Aromatic-Aromatic,0.045454545454545456,0.045454545454545456,0.11363636363636363,44,0.15463917525773196,0.061855670103092786,0.0824742268041237,97,0.37376262373762625
57,Hydrophil-Hydrophil,0.29545454545454547,0.11363636363636365,0.15909090909090906,44,0.422680412371134,0.09278350515463918,0.10309278350515466,97,0.4814518548145186
58,Hydrophob-Aromatic,0.4772727272727273,0.1363636363636364,0.15909090909090906,44,0.6804123711340206,0.10309278350515472,0.08247422680412364,97,0.287071292870713
59,Hydrophob-Charged,0.5454545454545454,0.15909090909090906,0.13636363636363635,44,0.6185567010309279,0.10309278350515472,0.09278350515463918,97,1.0
60,Hydrophob-NegCharged,0.2727272727272727,0.11363636363636362,0.15909090909090912,44,0.422680412371134,0.09278350515463918,0.10309278350515466,97,0.37376262373762625
61,Hydrophob-PosCharged,0.45454545454545453,0.13636363636363635,0.15909090909090912,44,0.4845360824742268,0.09278350515463918,0.10309278350515466,97,1.0
62,PosCharged-PosCharged,0.045454545454545456,0.045454545454545456,0.0909090909090909,44,0.061855670103092786,0.04123711340206186,0.061855670103092786,97,1.0
63,NegCharged-NegCharged,0.0,,,44,0.0,,,97,1.0
64,FF-FY-SY-TY-HC,0.022727272727272728,0.022727272727272728,0.11363636363636362,44,0.13402061855670103,0.061855670103092786,0.08247422680412372,97,0.287071292870713
65,FF-FY-SY-HC,0.022727272727272728,0.022727272727272728,0.09090909090909091,44,0.13402061855670103,0.061855670103092786,0.08247422680412372,97,0.287071292870713
66,FF,0.0,,,44,0.020618556701030927,0.020618556701030927,0.05154639175257732,97,1.0
67,FY,0.0,,,44,0.020618556701030927,0.020618556701030927,0.05154639175257732,97,1.0
68,TY,0.0,,,44,0.020618556701030927,0.020618556701030927,0.05154639175257732,97,1.0
69,SY,0.0,,,44,0.0,,,97,1.0
70,HC,0.0,,,44,0.0,,,97,1.0
71,MR,0.022727272727272728,0.022727272727272728,0.11363636363636362,44,0.0,,,97,1.0
