,OR,OR_lb,OR_ub,pvalue,tag,buff,spa,LiPMScov,clientN_essentialN,clientY_essentialN,clientN_essentialY,clientY_essentialY,total_res,n,label,Chap
10,1.623762376237624,0.948596795033711,2.858278419111752,0.1035871160072042,EXP_Knockout,C,0,50,82,101,27,54,264,264,EXP,+DnaK
11,1.623762376237624,0.934110944342175,2.8666666666666667,0.1035871160072042,EXP_Knockout,C,10,50,82,101,27,54,264,264,EXP,+DnaK
12,1.623762376237624,0.9455714928282272,2.9075234805925327,0.1035871160072042,EXP_Knockout,C,20,50,82,101,27,54,264,264,EXP,+DnaK
13,1.623762376237624,0.9556407832201316,2.8834066739012445,0.1035871160072042,EXP_Knockout,C,30,50,82,101,27,54,264,264,EXP,+DnaK
14,1.623762376237624,0.9538590147890388,2.928589466089466,0.1035871160072042,EXP_Knockout,C,40,50,82,101,27,54,264,264,EXP,+DnaK
15,1.623762376237624,0.944210142566136,2.898887765419616,0.1035871160072042,EXP_Knockout,C,50,50,82,101,27,54,264,264,EXP,+DnaK
16,1.6656511805026657,0.972972972972973,2.9701278685148704,0.076869019425543,EXP_Knockout,C,60,50,81,101,26,54,262,262,EXP,+DnaK
17,1.6985645933014355,0.9506535612535612,3.1777873563218386,0.0839758653925762,EXP_Knockout,C,70,50,71,95,22,50,238,238,EXP,+DnaK
18,1.746031746031746,0.8888514891880864,3.84775641025641,0.1292888351361164,EXP_Knockout,C,80,50,44,81,14,45,184,184,EXP,+DnaK
19,1.5802469135802468,0.6666666666666666,4.561297810421281,0.3759727176655406,EXP_Knockout,C,90,50,20,45,9,32,106,106,EXP,+DnaK
10,1.623762376237624,0.948596795033711,2.858278419111752,0.1035871160072042,EXP_Knockout,C,0,50,82,101,27,54,264,264,EXP,+DnaK
11,1.623762376237624,0.934110944342175,2.8666666666666667,0.1035871160072042,EXP_Knockout,C,10,50,82,101,27,54,264,264,EXP,+DnaK
12,1.623762376237624,0.9455714928282272,2.9075234805925327,0.1035871160072042,EXP_Knockout,C,20,50,82,101,27,54,264,264,EXP,+DnaK
13,1.623762376237624,0.9556407832201316,2.8834066739012445,0.1035871160072042,EXP_Knockout,C,30,50,82,101,27,54,264,264,EXP,+DnaK
14,1.623762376237624,0.9538590147890388,2.928589466089466,0.1035871160072042,EXP_Knockout,C,40,50,82,101,27,54,264,264,EXP,+DnaK
15,1.623762376237624,0.944210142566136,2.898887765419616,0.1035871160072042,EXP_Knockout,C,50,50,82,101,27,54,264,264,EXP,+DnaK
16,1.6656511805026657,0.972972972972973,2.9701278685148704,0.076869019425543,EXP_Knockout,C,60,50,81,101,26,54,262,262,EXP,+DnaK
17,1.6985645933014355,0.9506535612535612,3.1777873563218386,0.0839758653925762,EXP_Knockout,C,70,50,71,95,22,50,238,238,EXP,+DnaK
18,1.746031746031746,0.8888514891880864,3.84775641025641,0.1292888351361164,EXP_Knockout,C,80,50,44,81,14,45,184,184,EXP,+DnaK
19,1.5802469135802468,0.6666666666666666,4.561297810421281,0.3759727176655406,EXP_Knockout,C,90,50,20,45,9,32,106,106,EXP,+DnaK
