,OR,OR_lb,OR_ub,pvalue,tag,buff,spa,LiPMScov,clientN_essentialN,clientY_essentialN,clientN_essentialY,clientY_essentialY,total_res,n,label,Chap
10,0.9454545454545454,0.5205794817927172,1.6511324354657688,0.887800885684866,EXP_Knockout,C,0,50,122,61,55,26,264,264,EXP,+GroEL
11,0.9454545454545454,0.530053391053391,1.6238095238095238,0.887800885684866,EXP_Knockout,C,10,50,122,61,55,26,264,264,EXP,+GroEL
12,0.9454545454545454,0.522385235371585,1.6356249999999997,0.887800885684866,EXP_Knockout,C,20,50,122,61,55,26,264,264,EXP,+GroEL
13,0.9454545454545454,0.5203412843972229,1.638109243697479,0.887800885684866,EXP_Knockout,C,30,50,122,61,55,26,264,264,EXP,+GroEL
14,0.9454545454545454,0.5247571893550621,1.646834477498093,0.887800885684866,EXP_Knockout,C,40,50,122,61,55,26,264,264,EXP,+GroEL
15,0.9454545454545454,0.523095641050089,1.6085117171202072,0.887800885684866,EXP_Knockout,C,50,50,122,61,55,26,264,264,EXP,+GroEL
16,0.9550698239222828,0.5264061341734618,1.6524417562724012,1.0,EXP_Knockout,C,60,50,121,61,54,26,262,262,EXP,+GroEL
17,0.9904622157006604,0.5374256929637528,1.7627983864082637,1.0,EXP_Knockout,C,70,50,108,58,47,25,238,238,EXP,+GroEL
18,1.0248842592592593,0.530765306122449,1.951934523809524,1.0,EXP_Knockout,C,80,50,77,48,36,23,184,184,EXP,+GroEL
19,1.0341614906832295,0.4583333333333333,2.31129901960784,1.0,EXP_Knockout,C,90,50,37,28,23,18,106,106,EXP,+GroEL
0,1.348622253226369,0.8314307896107914,2.1448719289277194,0.218269194430675,AF_Knockout,C,0,50,209,94,61,37,401,401,AF,+GroEL
1,1.348622253226369,0.8179567362202756,2.1642759816672856,0.218269194430675,AF_Knockout,C,10,50,209,94,61,37,401,401,AF,+GroEL
2,1.348622253226369,0.8200209920773284,2.1469513151172417,0.218269194430675,AF_Knockout,C,20,50,209,94,61,37,401,401,AF,+GroEL
3,1.348622253226369,0.8243403780382723,2.1614722878907275,0.218269194430675,AF_Knockout,C,30,50,209,94,61,37,401,401,AF,+GroEL
4,1.348622253226369,0.8302154195011338,2.186217008797654,0.218269194430675,AF_Knockout,C,40,50,209,94,61,37,401,401,AF,+GroEL
5,1.3421695151726545,0.8224561516812394,2.15993834622824,0.2648317276299149,AF_Knockout,C,50,50,208,94,61,37,400,400,AF,+GroEL
6,1.310946589106293,0.8011079545454546,2.1099374136574696,0.2677155665617666,AF_Knockout,C,60,50,201,93,61,37,392,392,AF,+GroEL
7,1.4150943396226414,0.8431743032593293,2.3500652985074617,0.1962799358592024,AF_Knockout,C,70,50,175,84,53,36,348,348,AF,+GroEL
8,1.4461697722567288,0.8384164086687307,2.48949737850373,0.2077644079641125,AF_Knockout,C,80,50,127,69,42,33,271,271,AF,+GroEL
9,1.5135135135135136,0.757532281205165,3.075707088390911,0.2892038033160989,AF_Knockout,C,90,50,56,37,25,25,143,143,AF,+GroEL
