,motif,D_type,Ess_n,NonEss_n,Ess_hits,NonEss_hits,Ess_mean,Ess_lower_ci,Ess_upper_ci,NonEss_mean,NonEss_lower_ci,NonEss_upper_ci,ratio,proportion,abs_diff,p_value,OnlyEnt,buff,spa,q_value,label
39,Schymkowitz,All,98,303,6,8,0.0001948576376593,7.099831215192533e-05,0.0004513388879622,7.989697275543073e-05,3.4947729947295265e-05,0.0001689814803782,2.43886133528301,0.7092060707013933,0.0001149606649039,0.1212,True,C,0,0.6752571428571429,AF
40,Schymkowitz,Thread,98,303,1,2,4.114549045424621e-05,0.0,0.0002125533534832,2.886701322900083e-05,0.0,0.0001240016825517,1.4253462984840422,0.587687745611813,1.227847722524538e-05,0.8573,True,C,0,0.9838323529411764,AF
41,Schymkowitz,Loop,98,303,4,5,0.0001032733137935,1.833348156828679e-05,0.0003093436824349,5.6544574976565904e-05,1.5422102957959347e-05,0.0001427052700478,1.8264053419161137,0.6461937057753836,4.6728738817010274e-05,0.4898,True,C,0,0.8825142857142857,AF
117,Schymkowitz,All,98,303,6,8,0.0001948576376593,6.798281883852052e-05,0.0004517323439585,7.989697275543073e-05,3.4635286099024256e-05,0.0001723178576634,2.43886133528301,0.7092060707013933,0.0001149606649039,0.1215,True,C,10,0.6769285714285714,AF
118,Schymkowitz,Thread,98,303,1,2,4.114549045424621e-05,0.0,0.0002468729427254,2.886701322900083e-05,0.0,0.000121201911708,1.4253462984840422,0.587687745611813,1.227847722524538e-05,0.8555,True,C,10,0.9819970588235292,AF
119,Schymkowitz,Loop,98,303,4,5,0.0001032733137935,1.833348156828679e-05,0.0003085219973791,5.6544574976565904e-05,1.7219113215669396e-05,0.0001438624561733,1.8264053419161137,0.6461937057753836,4.6728738817010274e-05,0.4771,True,C,10,0.8699600000000001,AF
195,Schymkowitz,All,98,303,6,8,0.0001948576376593,6.708260960275138e-05,0.0004599315525048,7.989697275543073e-05,3.534105331253308e-05,0.0001706352330339,2.43886133528301,0.7092060707013933,0.0001149606649039,0.1201,True,C,20,0.6691285714285714,AF
196,Schymkowitz,Thread,98,303,1,2,4.114549045424621e-05,0.0,0.0002468729427254,2.886701322900083e-05,0.0,0.000113490860229,1.4253462984840422,0.587687745611813,1.227847722524538e-05,0.858,True,C,20,0.9841764705882352,AF
197,Schymkowitz,Loop,98,303,4,5,0.0001032733137935,2.1459687976136823e-05,0.0003169473200151,5.6544574976565904e-05,1.9190460289425936e-05,0.0001484192130581,1.8264053419161137,0.6461937057753836,4.6728738817010274e-05,0.483,True,C,20,0.8831333333333333,AF
273,Schymkowitz,All,98,303,6,8,0.0001948576376593,6.708260960275138e-05,0.0004595894861177,7.989697275543073e-05,3.538861322654475e-05,0.00016742318798,2.43886133528301,0.7092060707013933,0.0001149606649039,0.1183,True,C,30,0.6591,AF
274,Schymkowitz,Thread,98,303,1,2,4.114549045424621e-05,0.0,0.0002263493033822,2.886701322900083e-05,0.0,0.000121201911708,1.4253462984840422,0.587687745611813,1.227847722524538e-05,0.8551,True,C,30,0.995489552238806,AF
275,Schymkowitz,Loop,98,303,4,5,0.0001032733137935,2.1459687976136823e-05,0.0003181030577958,5.6544574976565904e-05,1.806689390626123e-05,0.0001470951660546,1.8264053419161137,0.6461937057753836,4.6728738817010274e-05,0.4823,True,C,30,0.8822666666666668,AF
351,Schymkowitz,All,98,303,6,8,0.0001948576376593,6.212782333932997e-05,0.0004474526257473,7.989697275543073e-05,3.5039404976445487e-05,0.0001685592393578,2.43886133528301,0.7092060707013933,0.0001149606649039,0.1211,True,C,40,0.6747,AF
352,Schymkowitz,Thread,98,303,1,2,4.114549045424621e-05,0.0,0.0002057274522712,2.886701322900083e-05,0.0,0.0001269357705001,1.4253462984840422,0.587687745611813,1.227847722524538e-05,0.8573,True,C,40,0.9980507462686566,AF
