gene,traj,<Q>,Qmode,Qthreshold,MisfoldingProp,num_frames,num_misfolded_frames,Folded,NativeFolded
P0ACP7,7,0.918064071470835,0.9277456647398844,0.796415051870682,0.00037495313085866844,2667,1,1.0,1.0
P0ACP7,17,0.9091930705193642,0.907514450867052,0.796415051870682,0.0011248593925758943,2667,3,1.0,1.0
P0ACP7,24,0.914500933048109,0.9190751445086706,0.796415051870682,0.0011248593925758943,2667,3,1.0,1.0
P0ACP7,26,0.914646146110349,0.9046242774566474,0.796415051870682,0.0011248593925758943,2667,3,1.0,1.0
P0ACP7,31,0.9082253446642867,0.9046242774566474,0.796415051870682,0.0014998125234345627,2667,4,1.0,1.0
P31142,42,0.9014557301958877,0.9054054054054054,0.8106354097204544,0.0014998125234345627,2667,4,1.0,1.0
P31142,14,0.8984485047477171,0.9121621621621622,0.8106354097204544,0.0014998125234345627,2667,4,1.0,1.0
P0ACP7,48,0.9053265018173307,0.8988439306358381,0.796415051870682,0.0014998125234345627,2667,4,1.0,1.0
P0ACP7,2,0.9067255321408524,0.9190751445086706,0.796415051870682,0.0018747656542932312,2667,5,1.0,1.0
P0ACP7,15,0.917430118922996,0.916184971098266,0.796415051870682,0.0018747656542932312,2667,5,1.0,1.0
P0ACP7,39,0.9051357742131945,0.9219653179190752,0.796415051870682,0.0018747656542932312,2667,5,1.0,1.0
P0ACP7,46,0.9139753484571653,0.9421965317919077,0.796415051870682,0.0018747656542932312,2667,5,1.0,1.0
P31142,15,0.9023272428784239,0.8986486486486487,0.8106354097204544,0.0018747656542932312,2667,5,1.0,1.0
P0ACP7,4,0.9146624013038832,0.9248554913294798,0.796415051870682,0.0018747656542932312,2667,5,1.0,1.0
P0ACP7,16,0.9170865924996369,0.8988439306358381,0.796415051870682,0.0018747656542932312,2667,5,1.0,1.0
P31142,19,0.9006880896644676,0.9054054054054054,0.8106354097204544,0.0022497187851518996,2667,6,1.0,1.0
P0ACP7,44,0.8989718048249751,0.8959537572254336,0.796415051870682,0.0022497187851518996,2667,6,1.0,1.0
P0ACP7,33,0.9143568036654378,0.9132947976878611,0.796415051870682,0.0022497187851518996,2667,6,1.0,1.0
