gene,uniprot_length,cut_CG_Rall_1,cut_CG_Rall_0,total_cut_CG_Rall,total_region_1,total_region_0,total_res
P00350,468,3,8,11,69,398,467
P00448,206,0,3,3,97,108,205
P00509,396,2,1,3,226,170,396
P00957,876,0,1,1,160,281,441
P00959,677,0,0,0,262,285,547
P00962,554,0,0,0,361,181,542
P00963,330,0,0,0,170,157,327
P02925,296,0,1,1,64,207,271
P04079,525,3,2,5,190,311,501
P04425,316,1,0,1,149,165,314
P04825,870,1,2,3,235,635,870
P05055,711,1,3,4,133,411,544
P06715,450,1,0,1,177,272,449
P06968,152,0,0,0,54,98,152
P06999,309,0,0,0,64,245,309
P07012,365,1,0,1,183,179,362
P07813,860,2,2,4,544,316,860
P08200,416,6,5,11,192,224,416
P08839,575,2,3,5,135,436,571
P09030,268,0,0,0,119,149,268
P09373,760,0,2,2,393,366,759
P0A6B7,404,4,1,5,277,108,385
P0A6F3,502,0,1,1,266,233,499
P0A6F5,548,18,28,46,166,359,525
P0A6L0,259,0,1,1,86,165,251
P0A6L2,292,0,1,1,111,181,292
P0A6P1,283,3,8,11,50,232,282
P0A6P9,432,4,4,8,179,253,432
P0A6R0,317,0,0,0,128,189,317
P0A6T1,549,0,0,0,267,282,549
P0A6T9,129,0,0,0,54,74,128
P0A6Y8,638,7,6,13,200,399,599
P0A6Z1,616,0,0,0,56,171,227
P0A6Z3,624,2,1,3,193,282,475
P0A715,284,1,0,1,112,172,284
P0A717,315,0,2,2,63,245,308
P0A746,137,0,0,0,88,46,134
P0A763,143,1,1,2,94,48,142
P0A786,311,0,0,0,184,126,310
P0A790,126,3,0,3,93,32,125
P0A794,243,0,0,0,88,154,242
P0A796,320,0,1,1,72,248,320
P0A799,387,11,4,15,194,192,386
P0A7A5,208,0,0,0,73,134,207
P0A7A9,176,3,7,10,61,114,175
P0A7C2,202,0,0,0,83,114,197
P0A7D4,432,0,3,3,177,254,431
P0A7E5,545,2,2,4,282,254,536
P0A7F3,153,0,0,0,46,107,153
P0A7G6,353,0,0,0,163,173,336
P0A7J3,165,1,1,2,86,49,135
P0A7K6,115,1,0,1,92,22,114
P0A7Z0,219,1,0,1,149,69,218
P0A7Z4,329,4,2,6,110,122,232
P0A817,384,2,4,6,228,155,383
P0A825,417,1,3,4,246,171,417
P0A836,388,0,2,2,160,228,388
P0A850,432,1,0,1,167,264,431
P0A855,430,0,0,0,71,337,408
P0A858,255,1,1,2,108,147,255
P0A862,168,1,1,2,105,62,167
P0A870,317,1,5,6,86,230,316
P0A8F0,208,1,0,1,111,96,207
P0A8L1,430,1,3,4,226,202,428
P0A8M3,642,1,1,2,376,265,641
P0A8N3,505,0,0,0,273,213,486
P0A8R0,161,1,0,1,106,54,160
P0A8T7,1407,2,2,4,439,483,922
P0A8V2,1342,6,9,15,614,723,1337
P0A912,173,0,0,0,66,42,108
P0A953,406,3,4,7,246,160,406
P0A955,213,1,5,6,83,130,213
P0A959,405,0,0,0,216,188,404
P0A998,165,0,2,2,65,98,163
P0A9A6,383,0,0,0,148,157,305
P0A9M2,178,0,0,0,64,111,175
P0A9M5,152,0,0,0,60,90,150
P0A9P0,474,1,3,4,194,277,471
P0A9P4,321,3,0,3,185,135,320
P0A9P6,629,0,0,0,138,89,227
P0A9Q9,367,1,1,2,56,311,367
P0A9R4,111,0,2,2,56,53,109
P0A9S3,346,1,0,1,177,169,346
P0A9V1,241,0,0,0,59,181,240
P0A9W3,555,0,1,1,99,438,537
P0A9Z1,112,0,0,0,55,57,112
P0AA10,142,0,0,0,54,88,142
P0AA25,109,1,0,1,84,25,109
P0AA43,231,0,0,0,90,140,230
P0AAC8,107,1,0,1,51,46,97
P0AAI5,413,3,2,5,218,194,412
P0AAI9,309,2,5,7,116,191,307
P0AB71,359,1,3,4,105,253,358
P0AB77,398,0,0,0,247,150,397
P0AB91,350,1,1,2,213,132,345
P0ABH7,427,0,1,1,128,298,426
P0ABK5,323,8,2,10,237,75,312
P0ABP8,239,5,0,5,161,76,237
P0ABT2,167,0,0,0,69,90,159
P0ABZ6,428,0,0,0,105,283,388
P0AC69,115,0,1,1,41,72,113
