gene,uniprot_length,cut_CD_Rall_1,cut_CD_Rall_0,total_cut_CD_Rall,total_region_1,total_region_0,total_res
P00350,468,1,3,4,69,398,467
P00448,206,0,1,1,97,108,205
P00509,396,1,1,2,226,170,396
P00957,876,0,2,2,160,281,441
P02925,296,0,1,1,64,207,271
P04079,525,2,1,3,190,311,501
P05055,711,0,3,3,133,411,544
P06999,309,0,0,0,64,245,309
P07012,365,2,1,3,183,179,362
P08200,416,3,3,6,192,224,416
P08839,575,1,3,4,135,436,571
P09030,268,0,0,0,119,149,268
P09373,760,2,5,7,393,366,759
P0A6B7,404,4,0,4,277,108,385
P0A6F5,548,1,3,4,166,359,525
P0A6K3,169,0,0,0,59,109,168
P0A6L2,292,0,2,2,111,181,292
P0A6P1,283,0,5,5,50,232,282
P0A6P9,432,3,2,5,179,253,432
P0A6T1,549,0,0,0,267,282,549
P0A6T9,129,0,0,0,54,74,128
P0A6Y8,638,8,16,24,200,399,599
P0A6Z1,616,0,0,0,56,171,227
P0A6Z3,624,1,0,1,193,282,475
P0A715,284,2,0,2,112,172,284
P0A717,315,0,1,1,63,245,308
P0A746,137,0,0,0,88,46,134
P0A763,143,3,0,3,94,48,142
P0A790,126,1,0,1,93,32,125
P0A796,320,1,1,2,72,248,320
P0A799,387,7,3,10,194,192,386
P0A7A9,176,3,2,5,61,114,175
P0A7D4,432,1,1,2,177,254,431
P0A7J3,165,2,1,3,86,49,135
P0A7K6,115,0,0,0,92,22,114
P0A7Z4,329,3,0,3,110,122,232
P0A817,384,0,2,2,228,155,383
P0A825,417,5,1,6,246,171,417
P0A836,388,0,0,0,160,228,388
P0A850,432,1,0,1,167,264,431
P0A858,255,3,3,6,108,147,255
P0A862,168,3,3,6,105,62,167
P0A870,317,0,5,5,86,230,316
P0A8F0,208,0,0,0,111,96,207
P0A8L1,430,4,1,5,226,202,428
P0A8N3,505,0,0,0,273,213,486
P0A8R0,161,0,0,0,106,54,160
P0A8T7,1407,1,1,2,439,483,922
P0A8V2,1342,2,5,7,614,723,1337
P0A953,406,2,2,4,246,160,406
P0A955,213,0,4,4,83,130,213
P0A998,165,0,1,1,65,98,163
P0A9A6,383,0,0,0,148,157,305
P0A9M2,178,0,0,0,64,111,175
P0A9M5,152,0,1,1,60,90,150
P0A9P0,474,1,1,2,194,277,471
P0A9P4,321,0,0,0,185,135,320
P0A9P6,629,0,0,0,138,89,227
P0A9Q9,367,0,1,1,56,311,367
P0A9R4,111,1,1,2,56,53,109
P0A9W3,555,1,0,1,99,438,537
P0AA10,142,0,0,0,54,88,142
P0AA25,109,1,0,1,84,25,109
P0AA43,231,0,0,0,90,140,230
P0AAC8,107,2,0,2,51,46,97
P0AAI5,413,1,0,1,218,194,412
P0AAI9,309,2,5,7,116,191,307
P0AB71,359,3,6,9,105,253,358
P0AB91,350,0,0,0,213,132,345
P0ABK5,323,5,0,5,237,75,312
P0ABT2,167,0,0,0,69,90,159
P0ABZ6,428,0,0,0,105,283,388
P0AC69,115,0,1,1,41,72,113
P0ACY1,183,0,0,0,56,121,177
P0AD61,470,3,4,7,159,308,467
P0AD96,367,0,0,0,131,213,344
P0ADE8,326,0,0,0,191,133,324
P0ADY3,123,0,2,2,68,55,123
P0AE08,187,4,1,5,106,71,177
P0AE18,264,1,1,2,89,174,263
P0AEG4,208,0,0,0,61,127,188
P0AEG6,236,0,1,1,85,131,216
P0AEK2,244,0,2,2,72,171,243
P0AEK4,262,4,0,4,124,134,258
P0AEP3,302,1,2,3,101,187,288
P0AF12,232,1,3,4,119,113,232
P0AF93,128,0,1,1,61,65,126
P0AFF6,495,0,3,3,57,262,319
P0AFG8,887,2,1,3,517,314,831
P0AFK9,348,1,0,1,182,141,323
P0AFL3,190,1,0,1,103,63,166
P0AFQ7,265,0,0,0,67,198,265
P0AG30,419,1,2,3,89,319,408
P0AG55,177,1,1,2,52,124,176
P0AG67,557,0,0,0,51,126,177
P0AG82,346,0,1,1,190,131,321
P0AGD3,193,1,2,3,81,111,192
P0AGE0,178,0,0,0,51,94,145
P0AGE9,289,0,0,0,127,160,287
P0AGJ9,424,0,0,0,126,291,417
P0AGK4,97,0,0,0,54,42,96
P0CE48,394,7,13,20,178,208,386
P17169,609,1,0,1,387,221,608
P18843,275,0,0,0,152,109,261
P21889,590,1,1,2,308,282,590
P23721,362,1,0,1,199,161,360
P23843,543,9,2,11,334,183,517
P23847,535,19,6,25,321,186,507
P23869,164,3,1,4,100,64,164
P24182,449,0,0,0,203,244,447
P26616,565,2,0,2,248,309,557
P27302,663,4,0,4,454,208,662
P31057,264,1,0,1,110,152,262
P31697,241,1,1,2,48,157,205
P35340,521,0,0,0,330,191,521
P36683,865,6,1,7,609,253,862
P37095,427,1,0,1,186,240,426
P37744,293,0,0,0,75,215,290
P38489,217,0,0,0,121,96,217
P45523,270,1,0,1,83,130,213
P45748,190,0,0,0,118,68,186
P60422,273,1,3,4,114,157,271
P60438,209,2,0,2,129,80,209
P60624,104,0,0,0,49,53,102
P60723,201,1,0,1,70,131,201
P61175,110,0,1,1,41,69,110
P61316,203,0,0,0,76,106,182
P61889,312,1,0,1,113,199,312
P61949,176,0,0,0,62,113,175
P62399,179,0,1,1,41,136,177
P62707,250,2,0,2,132,114,246
P63224,192,0,0,0,70,122,192
P63284,857,0,0,0,124,219,343
P65556,180,1,0,1,114,47,161
P67910,310,0,1,1,154,152,306
P69441,214,1,0,1,53,161,214
P69503,183,0,1,1,67,115,182
P69783,169,0,0,0,56,105,161
P76344,216,0,0,0,54,136,190
P77395,284,0,0,0,84,190,274
P77608,269,1,3,4,75,186,261
