gene,pdb,chain,traj,<Q>,<G>,<K>,Mirror
P0A7N9,6XZ7,b,8,0.70,0.00,0.18,TRUE
P0A7N9,6XZ7,b,40,0.68,0.00,0.17,TRUE
P0A7N9,6XZ7,b,47,0.70,0.00,0.21,TRUE
P0A7N9,6XZ7,b,48,0.70,0.00,0.19,TRUE
P0AG51,6XZ7,Z,7,0.62,0.00,0.41,FALSE
P0AG51,6XZ7,Z,8,0.61,0.00,0.40,FALSE
P0AG51,6XZ7,Z,18,0.62,0.00,0.41,FALSE
P0AG51,6XZ7,Z,24,0.62,0.00,0.40,FALSE
P0AG51,6XZ7,Z,25,0.61,0.00,0.41,FALSE
P0AG51,6XZ7,Z,27,0.64,0.00,0.39,FALSE
P0AG51,6XZ7,Z,28,0.61,0.00,0.43,FALSE
P0AG51,6XZ7,Z,30,0.62,0.00,0.41,FALSE
P0AG51,6XZ7,Z,33,0.60,0.06,0.35,FALSE
P0AG51,6XZ7,Z,40,0.62,0.00,0.43,FALSE
P0AG51,6XZ7,Z,41,0.62,0.00,0.40,FALSE
P0ADZ0,6QUL,U,3,0.67,0.00,0.36,FALSE
P0ADZ0,6QUL,U,6,0.58,0.00,0.43,FALSE
P0ADZ0,6QUL,U,9,0.68,0.00,0.35,TRUE
P0ADZ0,6QUL,U,26,0.67,0.00,0.35,FALSE
P0ADZ0,6QUL,U,32,0.68,0.00,0.35,TRUE
P0ADZ0,6QUL,U,33,0.69,0.00,0.36,TRUE
P0ADZ0,6QUL,U,39,0.66,0.00,0.36,FALSE
P0ADZ0,6QUL,U,43,0.69,0.00,0.35,FALSE
P0ADZ0,6QUL,U,49,0.69,0.00,0.35,TRUE
P77214,1ZEQ,X,2,0.75,0.00,0.19,TRUE
P77214,1ZEQ,X,5,0.75,0.00,0.23,TRUE
P77214,1ZEQ,X,6,0.75,0.00,0.21,TRUE
P77214,1ZEQ,X,7,0.75,0.00,0.21,TRUE
P77214,1ZEQ,X,10,0.75,0.00,0.19,TRUE
P77214,1ZEQ,X,13,0.75,0.00,0.21,TRUE
P77214,1ZEQ,X,16,0.75,0.00,0.21,TRUE
P77214,1ZEQ,X,17,0.75,0.00,0.20,TRUE
P77214,1ZEQ,X,22,0.75,0.00,0.21,TRUE
P77214,1ZEQ,X,25,0.75,0.00,0.20,TRUE
P77214,1ZEQ,X,26,0.75,0.00,0.23,TRUE
P77214,1ZEQ,X,29,0.75,0.00,0.19,TRUE
P77214,1ZEQ,X,34,0.75,0.00,0.21,TRUE
P77214,1ZEQ,X,36,0.75,0.00,0.20,TRUE
P77214,1ZEQ,X,37,0.75,0.00,0.20,TRUE
P77214,1ZEQ,X,41,0.75,0.00,0.21,TRUE
P77214,1ZEQ,X,42,0.75,0.00,0.21,TRUE
P77214,1ZEQ,X,43,0.75,0.00,0.20,TRUE
P77214,1ZEQ,X,46,0.75,0.00,0.22,TRUE
P0A6T9,3A7L,A,31,0.58,0.00,0.45,TRUE
P0A6T9,3A7L,A,34,0.58,0.00,0.47,TRUE
P0A6T9,3A7L,A,40,0.58,0.00,0.46,TRUE
P0A6T9,3A7L,A,42,0.58,0.00,0.46,TRUE
P0A6T9,3A7L,A,49,0.58,0.00,0.46,TRUE
P0A6E6,1AQT,A,3,0.74,0.00,0.37,TRUE
P0A6E6,1AQT,A,6,0.71,0.09,0.48,FALSE
P0A6E6,1AQT,A,7,0.74,0.00,0.36,TRUE
P0A6E6,1AQT,A,10,0.75,0.00,0.36,TRUE
P0A6E6,1AQT,A,13,0.74,0.00,0.37,TRUE
P0A6E6,1AQT,A,18,0.74,0.00,0.36,TRUE
P0A6E6,1AQT,A,26,0.75,0.00,0.37,TRUE
P0A6E6,1AQT,A,30,0.75,0.00,0.37,TRUE
P0A6E6,1AQT,A,35,0.74,0.00,0.36,TRUE
P0A6E6,1AQT,A,38,0.74,0.00,0.36,TRUE
P0A6E6,1AQT,A,40,0.71,0.10,0.34,TRUE
P0A6E6,1AQT,A,42,0.75,0.00,0.37,TRUE
P0A6E6,1AQT,A,43,0.75,0.00,0.37,FALSE
P0A6E6,1AQT,A,45,0.74,0.00,0.36,FALSE
P0A6E6,1AQT,A,48,0.74,0.00,0.36,FALSE
P0AA25,6LUR,D,0,0.76,0.04,0.26,TRUE
P0AA25,6LUR,D,2,0.73,0.22,0.47,FALSE
P0AA25,6LUR,D,5,0.72,0.07,0.26,TRUE
P0AA25,6LUR,D,6,0.73,0.23,0.47,FALSE
P0AA25,6LUR,D,7,0.73,0.23,0.47,FALSE
P0AA25,6LUR,D,12,0.73,0.23,0.48,FALSE
P0AA25,6LUR,D,16,0.86,0.26,0.47,FALSE
P0AA25,6LUR,D,19,0.72,0.06,0.25,TRUE
P0AA25,6LUR,D,23,0.73,0.23,0.50,FALSE
