gene|ChapClass|source
P76612|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P75970|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P76356|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
Q47719|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0ABD8|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P39451|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P23872|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P37685|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P39265|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P00811|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P02924|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A6D0|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AB91|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A9Q9|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P22106|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0ABA4|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P17444|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P12996|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P06610|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P31552|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P31551|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P36659|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P07330|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P07364|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A964|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AE72|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A6H1|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
Q59385|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
