MQ_rankings:
       gene  traj       <Q>  MisfoldingProp  num_frames  num_misfolded_frames  Folded
375  P60546    26  0.864939        1.000000       26667                 26667    True
299  P0AA25    47  0.857698        0.999850       26667                 26663    True
418  P0AA25    49  0.856828        1.000000       26667                 26667    True
331  P0AA25    16  0.847401        1.000000       26667                 26667    True
417  P0AA25    48  0.845357        1.000000       26667                 26667    True
373  P60546    20  0.844789        1.000000       26667                 26667    True
335  P0AA25     1  0.843521        1.000000       26667                 26667    True
364  P0AA25    26  0.843173        1.000000       26667                 26667    True
366  P0AA25    11  0.837531        1.000000       26667                 26667    True
362  P0AA25    21  0.836739        1.000000       26667                 26667    True
328  P0A7J3    20  0.834307        1.000000       26667                 26667    True
315  P0AA25    43  0.833801        1.000000       26667                 26667    True
410  P65556    11  0.829135        1.000000       26667                 26667    True
354  P0A790    46  0.824648        1.000000       26667                 26667    True
404  P0A790     8  0.823869        1.000000       26667                 26667    True
419  P0AA25    31  0.823805        1.000000       26667                 26667    True
409  P0A790     2  0.823730        1.000000       26667                 26667    True
399  P0A790    18  0.823528        1.000000       26667                 26667    True
393  P0A790    12  0.821931        1.000000       26667                 26667    True
390  P0A790    25  0.820628        1.000000       26667                 26667    True
392  P0A790    11  0.820427        1.000000       26667                 26667    True
416  P0AA25    45  0.819713        1.000000       26667                 26667    True
357  P0A790    49  0.819450        1.000000       26667                 26667    True
370  P0A790    40  0.818494        1.000000       26667                 26667    True
402  P0A790     5  0.817918        1.000000       26667                 26667    True
401  P0A790     4  0.817849        1.000000       26667                 26667    True
307  P60546    41  0.817339        1.000000       26667                 26667    True
369  P0A790    39  0.817116        1.000000       26667                 26667    True
408  P0A790     1  0.816836        1.000000       26667                 26667    True
314  P0AA25    42  0.816565        1.000000       26667                 26667    True
318  P0AA25     8  0.816406        1.000000       26667                 26667    True
406  P0A790    10  0.816289        1.000000       26667                 26667    True
391  P0A790    26  0.816058        1.000000       26667                 26667    True
383  P0A790    34  0.813427        1.000000       26667                 26667    True
381  P0A790    32  0.813363        1.000000       26667                 26667    True
368  P0A790    38  0.813176        1.000000       26667                 26667    True
359  P0A790    35  0.813036        1.000000       26667                 26667    True
372  P0A790    42  0.812911        1.000000       26667                 26667    True
387  P0A790    22  0.812545        1.000000       26667                 26667    True
374  P60546    23  0.812301        1.000000       26667                 26667    True
361  P0AA25    17  0.811315        1.000000       26667                 26667    True
355  P0A790    47  0.810609        1.000000       26667                 26667    True
415  P60546    44  0.810290        1.000000       26667                 26667    True
397  P0A790    16  0.807958        1.000000       26667                 26667    True
295  P65556    35  0.807731        0.999663       26667                 26658    True
398  P0A790    17  0.804833        1.000000       26667                 26667    True
305  P60546    45  0.803902        1.000000       26667                 26667    True
302  P60546     3  0.802154        0.999925       26667                 26665    True
349  P0A7J3     9  0.800066        1.000000       26667                 26667    True
291  P65556     1  0.798787        0.998238       26667                 26620    True
306  P60546    38  0.798500        1.000000       26667                 26667    True
309  P0A6I0    46  0.790829        1.000000       26667                 26667    True
405  P0A790     9  0.787281        1.000000       26667                 26667    True
262  P0A6I0    20  0.787201        0.782803       26667                 20875    True
297  P60546    32  0.780257        0.999813       26667                 26662    True
376  P0A790    27  0.777877        1.000000       26667                 26667    True
377  P0A790    28  0.770651        1.000000       26667                 26667    True
386  P0A790    21  0.769738        1.000000       26667                 26667    True
365  P0AA25     9  0.768256        1.000000       26667                 26667    True
378  P0A790    29  0.767897        1.000000       26667                 26667    True
304  P60546    15  0.765434        0.999963       26667                 26666    True
330  P0A7J3    26  0.760783        1.000000       26667                 26667    True
336  P60438    48  0.758725        1.000000       26667                 26667    True
339  P60438    44  0.755618        1.000000       26667                 26667    True
332  P60438    13  0.754883        1.000000       26667                 26667    True
311  P65556    30  0.752777        1.000000       26667                 26667    True
LossGain_fractions:
       gene  traj  num_frames  Loss   Gain  Total  LossOverlap  GainOverlap  Total_Overlap  pureLoss_frames  pureGain_frames  bothLossGain_frames  FracLoss  FracGain  FracOverlap  CondLossOverlap  CondGainOverlap  LossNoOverlap  GainNoOverlap  TotalNoOverlap  FracLossNoOverlap  FracGainNoOverlap
99   P60546    26        2667  6135   4007  10142         3574         3930           7504                0                0                 2667  0.604910  0.395090     0.739894         0.582559         0.980784           2561             77            2638           0.970811           0.029189
24   P0AA25    47        2667  5333   5338  10671         5333         5337          10670                0                0                 2667  0.499766  0.500234     0.999906         1.000000         0.999813              0              1               1           0.000000           1.000000
142  P0AA25    49        2667  5331   3070   8401         1612         1618           3230              577                0                 2090  0.634567  0.365433     0.384478         0.302382         0.527036           3719           1452            5171           0.719203           0.280797
55   P0AA25    16        2667  5333   2674   8007         2670         2673           5343                0                0                 2667  0.666042  0.333958     0.667291         0.500656         0.999626           2663              1            2664           0.999625           0.000375
141  P0AA25    48        2667  5334   2676   8010         2672         2676           5348                0                0                 2667  0.665918  0.334082     0.667665         0.500937         1.000000           2662              0            2662           1.000000           0.000000
97   P60546    20        2667  6052   4084  10136         3601         3976           7577                0                0                 2667  0.597080  0.402920     0.747534         0.595010         0.973555           2451            108            2559           0.957796           0.042204
59   P0AA25     1        2667  5332   2754   8086         2750         2752           5502                0                0                 2667  0.659411  0.340589     0.680435         0.515754         0.999274           2582              2            2584           0.999226           0.000774
88   P0AA25    26        2667  5334   2712   8046         2709         2712           5421                0                0                 2667  0.662938  0.337062     0.673751         0.507874         1.000000           2625              0            2625           1.000000           0.000000
90   P0AA25    11        2667  5333   2688   8021         2686         2687           5373                0                0                 2667  0.664880  0.335120     0.669867         0.503656         0.999628           2647              1            2648           0.999622           0.000378
86   P0AA25    21        2667  5333   2801   8134         2793         2800           5593                0                0                 2667  0.655643  0.344357     0.687608         0.523720         0.999643           2540              1            2541           0.999606           0.000394
52   P0A7J3    20        2667     0  11799  11799            0            0              0                0             2667                    0  0.000000  1.000000     0.000000              NaN         0.000000              0          11799           11799           0.000000           1.000000
39   P0AA25    43        2667  5333   2676   8009         2674         2675           5349                0                0                 2667  0.665876  0.334124     0.667874         0.501406         0.999626           2659              1            2660           0.999624           0.000376
134  P65556    11        2667    13  14579  14592            0            0              0                0             2654                   13  0.000891  0.999109     0.000000         0.000000         0.000000             13          14579           14592           0.000891           0.999109
78   P0A790    46        2667  5333   2574   7907         2519         2521           5040               99                0                 2568  0.674466  0.325534     0.637410         0.472342         0.979409           2814             53            2867           0.981514           0.018486
128  P0A790     8        2667  5334   2560   7894         2484         2485           4969              115                0                 2552  0.675703  0.324297     0.629465         0.465692         0.970703           2850             75            2925           0.974359           0.025641
143  P0AA25    31        2667  5330   5893  11223         5275         5888          11163                0                0                 2667  0.474918  0.525082     0.994654         0.989681         0.999152             55              5              60           0.916667           0.083333
133  P0A790     2        2667  5334   2576   7910         2516         2517           5033               98                0                 2569  0.674336  0.325664     0.636283         0.471691         0.977096           2818             59            2877           0.979493           0.020507
123  P0A790    18        2667  5334   2561   7895         2500         2509           5009              119                0                 2548  0.675617  0.324383     0.634452         0.468691         0.979695           2834             52            2886           0.981982           0.018018
117  P0A790    12        2667  5334   2533   7867         2477         2477           4954              147                0                 2520  0.678022  0.321978     0.629719         0.464379         0.977892           2857             56            2913           0.980776           0.019224
114  P0A790    25        2667  5334   2569   7903         2491         2497           4988              117                0                 2550  0.674934  0.325066     0.631153         0.467004         0.971974           2843             72            2915           0.975300           0.024700
116  P0A790    11        2667  5333   2572   7905         2488         2491           4979              109                0                 2558  0.674636  0.325364     0.629855         0.466529         0.968507           2845             81            2926           0.972317           0.027683
140  P0AA25    45        2667  5334   2672   8006         2670         2672           5342                0                0                 2667  0.666250  0.333750     0.667250         0.500562         1.000000           2664              0            2664           1.000000           0.000000
81   P0A790    49        2667  5334   1614   6948         1553         1563           3116             1073                0                 1594  0.767703  0.232297     0.448474         0.291151         0.968401           3781             51            3832           0.986691           0.013309
94   P0A790    40        2667  5334   1417   6751         1367         1375           2742             1264                0                 1403  0.790105  0.209895     0.406162         0.256280         0.970360           3967             42            4009           0.989524           0.010476
126  P0A790     5        2667  5333   2569   7902         2507         2507           5014              111                0                 2556  0.674892  0.325108     0.634523         0.470092         0.975866           2826             62            2888           0.978532           0.021468
