index,gene,pdb,chain,Num_unfolded
0,P0A6B4,4WR3,A,50
1,P0A6E6,1AQT,A,50
2,P0A6I0,1KDO,A,50
3,P0A6L2,1DHP,A,50
4,P0A6T9,3A7L,A,50
5,P0A763,2HUR,C,50
6,P0A790,4CRZ,A,50
7,P0A7J3,6XZ7,H,50
8,P0A7N9,6XZ7,b,50
9,P0A8I5,3DXX,A,50
10,P0AA25,6LUR,D,50
11,P0ACP7,1QPZ,A,50
12,P0AD61,4YNG,C,50
13,P0ADY3,6XZ7,K,50
14,P0ADZ0,6QUL,U,50
15,P0AES0,2IO9,B,50
16,P0AG51,6XZ7,Z,50
17,P21599,6K0K,A,50
18,P31142,1URH,A,50
19,P37747,1I8T,A,50
20,P45748,1HRU,A,50
21,P60438,6PCR,N,50
22,P60546,2ANB,A,48
23,P61175,6XZ7,S,50
24,P65556,2FKB,A,50
25,P77214,1ZEQ,X,50
26,P77754,6BIE,A,50
27,Q46856,1OJ7,D,50
