Entry	Entry Name	Length
A5A616	MGTS_ECOLI	31
O32583	THIS_ECOLI	66
P00350	6PGD_ECOLI	468
P00363	FRDA_ECOLI	602
P00370	DHE4_ECOLI	447
P00393	NDH_ECOLI	434
P00448	SODM_ECOLI	206
P00452	RIR1_ECOLI	761
P00490	PHSM_ECOLI	797
P00509	AAT_ECOLI	396
P00550	PTM3C_ECOLI	637
P00561	AK1H_ECOLI	820
P00562	AK2H_ECOLI	810
P00579	RPOD_ECOLI	613
P00582	DPO1_ECOLI	928
P00634	PPB_ECOLI	471
P00722	BGAL_ECOLI	1024
P00803	LEP_ECOLI	324
P00804	LSPA_ECOLI	164
P00805	ASPG2_ECOLI	348
P00811	AMPC_ECOLI	377
P00861	DCDA_ECOLI	420
P00864	CAPP_ECOLI	883
P00893	ILVI_ECOLI	574
P00894	ILVH_ECOLI	163
P00903	PABA_ECOLI	187
P00904	TRPGD_ECOLI	531
P00914	PHR_ECOLI	472
P00926	SDHD_ECOLI	442
P00935	METB_ECOLI	386
P00936	CYAA_ECOLI	848
P00946	MANA_ECOLI	391
P00956	SYI_ECOLI	938
P00957	SYA_ECOLI	876
P00959	SYM_ECOLI	677
P00962	SYQ_ECOLI	554
P00963	ASNA_ECOLI	330
P00968	CARB_ECOLI	1073
P02358	RS6_ECOLI	135
P02359	RS7_ECOLI	179
P02916	MALF_ECOLI	514
P02918	PBPA_ECOLI	850
P02919	PBPB_ECOLI	844
P02920	LACY_ECOLI	417
P02921	MELB_ECOLI	473
P02925	RBSB_ECOLI	296
P02929	TONB_ECOLI	239
P02930	TOLC_ECOLI	493
P02931	OMPF_ECOLI	362
P02942	MCP1_ECOLI	551
P02943	LAMB_ECOLI	446
P03004	DNAA_ECOLI	467
P03007	DPO3E_ECOLI	243
P03018	UVRD_ECOLI	720
P03023	LACI_ECOLI	360
P03819	KEFC_ECOLI	620
P03959	KDPA_ECOLI	557
P03960	KDPB_ECOLI	682
P03961	KDPC_ECOLI	190
P04036	DAPB_ECOLI	273
P04079	GUAA_ECOLI	525
P04152	UMUC_ECOLI	422
P04391	OTC1_ECOLI	334
P04395	3MG2_ECOLI	282
P04425	GSHB_ECOLI	316
P04693	TYRB_ECOLI	397
P04737	PIL1_ECOLI	121
P04805	SYE_ECOLI	471
P04825	AMPN_ECOLI	870
P04968	ILVA_ECOLI	514
P04982	RBSD_ECOLI	139
P04983	RBSA_ECOLI	501
P04993	RECD_ECOLI	608
