gene,F,CDF
P09030,0.1,0.004608294930875576
P00370,0.1,0.009216589861751152
P0A8R0,0.1,0.013824884792626729
P60723,0.1,0.018433179723502304
P0A850,0.1,0.02304147465437788
P0ABK5,0.1,0.027649769585253458
P04079,0.1,0.03225806451612903
P0A784,0.1,0.03686635944700461
P0ACX3,0.1,0.041474654377880185
P37747,0.1,0.04608294930875576
P0ADI7,0.1,0.05069124423963134
P0A9Q9,0.1,0.055299539170506916
P0AEM0,0.1,0.059907834101382486
P0AFK9,0.1,0.06451612903225806
P35340,0.1,0.06912442396313365
P0A6P1,0.1,0.07373271889400922
P0AFL3,0.1,0.07834101382488479
P0A7Z0,0.1,0.08294930875576037
P60546,0.1,0.08755760368663594
P0A6Z3,0.1,0.09216589861751152
P0A6R0,0.1,0.0967741935483871
P0AG55,0.1,0.10138248847926268
P27248,0.1,0.10599078341013825
Q46856,0.1,0.11059907834101383
P63284,0.1,0.1152073732718894
P61949,0.1,0.11981566820276497
P0ACP7,0.1,0.12442396313364056
P0AFF6,0.1,0.12903225806451613
P0A9M0,0.1,0.1336405529953917
P0AEQ3,0.1,0.1382488479262673
P0AA43,0.1,0.14285714285714285
P21889,0.1,0.14746543778801843
P07012,0.1,0.15207373271889402
P60422,0.1,0.15668202764976957
P45523,0.1,0.16129032258064516
P0A799,0.1,0.16589861751152074
P0AFG8,0.1,0.17050691244239632
P0AE18,0.1,0.17511520737327188
P77608,0.1,0.17972350230414746
P0A749,0.1,0.18433179723502305
P0AEG6,0.1,0.1889400921658986
P77395,0.1,0.1935483870967742
P45799,0.2,0.19815668202764977
P09158,0.2,0.20276497695852536
P0A763,0.2,0.2073732718894009
P04951,0.2,0.2119815668202765
P0A855,0.2,0.21658986175115208
P60624,0.2,0.22119815668202766
P0AAI5,0.2,0.22580645161290322
P12281,0.2,0.2304147465437788
P0AFG3,0.2,0.2350230414746544
P0A731,0.2,0.23963133640552994
P0A8N3,0.2,0.24423963133640553
P0AES6,0.2,0.2488479262672811
P0A8N5,0.2,0.2534562211981567
P62707,0.2,0.25806451612903225
P21888,0.2,0.2626728110599078
P0ABP8,0.2,0.2672811059907834
P0A715,0.2,0.271889400921659
P0AE08,0.2,0.2764976958525346
P0AA25,0.2,0.28110599078341014
P0A6Y8,0.2,0.2857142857142857
P15770,0.2,0.2903225806451613
P0A746,0.2,0.29493087557603687
P36929,0.2,0.2995391705069124
P0A9Z1,0.2,0.30414746543778803
P69503,0.2,0.3087557603686636
P0A7G6,0.2,0.31336405529953915
P0AFG6,0.2,0.31797235023041476
P0CE48,0.2,0.3225806451612903
P0A7D4,0.2,0.3271889400921659
P23843,0.2,0.3317972350230415
P12758,0.2,0.33640552995391704
P45748,0.2,0.34101382488479265
P13035,0.2,0.3456221198156682
P0A825,0.2,0.35023041474654376
P23847,0.2,0.3548387096774194
P04425,0.2,0.35944700460829493
P0ABT2,0.2,0.3640552995391705
P07862,0.2,0.3686635944700461
P27302,0.2,0.37327188940092165
P23721,0.2,0.3778801843317972
P00350,0.2,0.3824884792626728
P0A6F3,0.2,0.3870967741935484
P0A7A9,0.2,0.391705069124424
P22188,0.2,0.39631336405529954
P0A8M3,0.2,0.4009216589861751
P0A790,0.2,0.4055299539170507
P69441,0.2,0.41013824884792627
P0A7E5,0.2,0.4147465437788018
P0A6B4,0.2,0.41935483870967744
P00864,0.2,0.423963133640553
P21513,0.2,0.42857142857142855
P08200,0.2,0.43317972350230416
P05055,0.2,0.4377880184331797
P06715,0.2,0.4423963133640553
P0A998,0.2,0.4470046082949309
P21165,0.2,0.45161290322580644
P0A6L2,0.2,0.45622119815668205
P02925,0.2,0.4608294930875576
P61316,0.2,0.46543778801843316
P04816,0.2,0.4700460829493088
P0AEZ3,0.2,0.47465437788018433
P0A817,0.2,0.4792626728110599
P00509,0.2,0.4838709677419355
P65556,0.2,0.48847926267281105
P0AEP3,0.2,0.4930875576036866
P62399,0.3,0.4976958525345622
P03023,0.3,0.5023041474654378
P0A8Y5,0.3,0.5069124423963134
P24186,0.3,0.511520737327189
P21599,0.3,0.5161290322580645
P05020,0.3,0.5207373271889401
P0A955,0.3,0.5253456221198156
P39377,0.3,0.5299539170506913
P0A9M5,0.3,0.5345622119815668
P69924,0.3,0.5391705069124424
P0AB91,0.3,0.543778801843318
P0A858,0.3,0.5483870967741935
P0A836,0.3,0.5529953917050692
P00957,0.3,0.5576036866359447
P0A7Z4,0.3,0.5622119815668203
P0A6F5,0.3,0.5668202764976958
P30850,0.3,0.5714285714285714
P0A8L1,0.3,0.576036866359447
P0A9M2,0.3,0.5806451612903226
P0A6B7,0.3,0.5852534562211982
P61889,0.3,0.5898617511520737
P0AEK2,0.3,0.5944700460829493
P0A7K6,0.3,0.5990783410138248
P0A870,0.3,0.6036866359447005
P0A953,0.3,0.6082949308755761
P0A6Z1,0.3,0.6129032258064516
P0A9P0,0.3,0.6175115207373272
P0AB89,0.3,0.6221198156682027
P00448,0.3,0.6267281105990783
P07813,0.3,0.631336405529954
P67095,0.3,0.6359447004608295
P24182,0.3,0.6405529953917051
Q57261,0.3,0.6451612903225806
P00963,0.3,0.6497695852534562
P0AAC8,0.3,0.6543778801843319
P0A9A6,0.3,0.6589861751152074
P22939,0.3,0.663594470046083
P75823,0.3,0.6682027649769585
P67910,0.3,0.6728110599078341
P36683,0.3,0.6774193548387096
P38489,0.3,0.6820276497695853
P17169,0.3,0.6866359447004609
P69783,0.3,0.6912442396313364
P0AGJ9,0.3,0.695852534562212
P0AG30,0.3,0.7004608294930875
P33136,0.3,0.7050691244239631
P0AA10,0.3,0.7096774193548387
P15042,0.3,0.7142857142857143
P00962,0.3,0.7188940092165899
P37095,0.3,0.7235023041474654
P23827,0.3,0.728110599078341
P0A8F0,0.3,0.7327188940092166
P09373,0.3,0.7373271889400922
P27828,0.3,0.7419354838709677
P0AB71,0.3,0.7465437788018433
P76290,0.3,0.7511520737327189
P04825,0.3,0.7557603686635944
P0ACC7,0.4,0.7603686635944701
P0A6P9,0.4,0.7649769585253456
P0A9P6,0.4,0.7695852534562212
P60438,0.4,0.7741935483870968
P0A9R4,0.4,0.7788018433179723
P0AB77,0.4,0.783410138248848
P04036,0.4,0.7880184331797235
P0A8A0,0.4,0.7926267281105991
P0A7E9,0.4,0.7972350230414746
P0AAI9,0.4,0.8018433179723502
P22259,0.4,0.8064516129032258
P37765,0.4,0.8110599078341014
P0A720,0.4,0.815668202764977
P0A796,0.4,0.8202764976958525
P0AD61,0.4,0.8248847926267281
P0ABZ6,0.4,0.8294930875576036
P00959,0.4,0.8341013824884793
P0AGD3,0.4,0.8387096774193549
P0A794,0.4,0.8433179723502304
P0AC69,0.4,0.847926267281106
P0AGE9,0.4,0.8525345622119815
P52697,0.4,0.8571428571428571
P0A959,0.4,0.8617511520737328
P0AD96,0.4,0.8663594470046083
P0AES0,0.4,0.8709677419354839
P0A8I5,0.4,0.8755760368663594
P0A9T0,0.4,0.880184331797235
P0AF24,0.4,0.8847926267281107
P0ADV7,0.4,0.8894009216589862
P06968,0.4,0.8940092165898618
P0AES4,0.4,0.8986175115207373
P23869,0.4,0.9032258064516129
P0A9W3,0.4,0.9078341013824884
P61517,0.4,0.9124423963133641
P30178,0.4,0.9170506912442397
P06612,0.5,0.9216589861751152
P0AFQ7,0.5,0.9262672811059908
P0A6T1,0.5,0.9308755760368663
P0A6K3,0.5,0.9354838709677419
P31057,0.5,0.9400921658986175
P0A6I0,0.5,0.9447004608294931
P23882,0.5,0.9493087557603687
P0A9P4,0.5,0.9539170506912442
P0A717,0.5,0.9585253456221198
P0A862,0.5,0.9631336405529954
P60906,0.5,0.967741935483871
P08839,0.5,0.9723502304147466
P18843,0.5,0.9769585253456221
P0ABH7,0.6,0.9815668202764977
P37744,0.6,0.9861751152073732
P0A7B5,0.6,0.9907834101382489
P0A7J3,0.7,0.9953917050691244
P0AG67,0.7,1.0
